Years,Provinces,Total sown area of crops (thousand hectares)  ,Sown area of grain crops (thousand hectares)  ,Sown area of rice (thousand hectares)  ,Sown area of wheat (thousand hectares)  ,Sown area of corn (thousand hectares)  ,soybeans (thousand hectares)  
1997,Beijing,535.800 ,424.500 ,23.200 ,171.300 ,206.300 ,12.600 
1998,Beijing,535.300 ,422.700 ,19.400 ,171.200 ,207.700 ,13.400 
1999,Beijing,527.100 ,409.700 ,19.200 ,168.000 ,198.100 ,13.600 
2000,Beijing,457.280 ,308.260 ,14.060 ,121.690 ,135.810 ,24.610 
2001,Beijing,386.400 ,213.800 ,6.800 ,72.600 ,100.100 ,22.500 
2002,Beijing,342.000 ,169.000 ,4.500 ,47.400 ,87.200 ,18.400 
2003,Beijing,308.830 ,141.340 ,1.610 ,35.790 ,75.210 ,19.160 
2004,Beijing,312.475 ,154.490 ,0.820 ,39.150 ,93.540 ,15.160 
2005,Beijing,318.000 ,192.200 ,0.800 ,53.300 ,119.700 ,12.300 
2006,Beijing,329.620 ,219.580 ,0.690 ,63.070 ,135.830 ,13.370 
2007,Beijing,295.010 ,197.490 ,0.520 ,41.350 ,138.990 ,10.110 
2008,Beijing,322.020 ,226.330 ,0.440 ,63.900 ,146.190 ,10.590 
2009,Beijing,320.130 ,226.290 ,0.380 ,60.570 ,150.760 ,9.480 
2010,Beijing,317.270 ,223.470 ,0.300 ,61.590 ,149.750 ,7.420 
2011,Beijing,302.580 ,209.380 ,0.230 ,58.140 ,140.510 ,6.280 
2012,Beijing,282.715 ,193.875 ,0.202 ,52.203 ,132.021 ,5.503 
2013,Beijing,242.455 ,158.911 ,0.189 ,36.215 ,114.486 ,4.914 
2014,Beijing,196.104 ,120.174 ,0.183 ,23.584 ,88.619 ,4.846 
2015,Beijing,173.730 ,104.454 ,0.200 ,20.781 ,76.290 ,4.141 
2016,Beijing,151.363 ,87.329 ,0.172 ,15.905 ,65.237 ,2.872 
2017,Beijing,120.939 ,66.844 ,0.118 ,11.273 ,49.742 ,2.867 
2018,Beijing,103.789 ,55.639 ,0.168 ,9.792 ,40.090 ,2.635 
2019,Beijing,88.550 ,46.515 ,0.148 ,8.041 ,33.663 ,1.937 
2020,Beijing,98.183 ,48.896 ,0.203 ,8.391 ,35.646 ,1.677 
2021,Beijing,117.847 ,60.923 ,0.309 ,13.068 ,42.773 ,1.738 
2022,Beijing,143.813 ,76.734 ,0.417 ,18.190 ,51.149 ,4.054 
1997,Tianjin,569.400 ,440.500 ,66.400 ,151.100 ,152.200 ,43.400 
1998,Tianjin,578.100 ,446.600 ,54.400 ,153.400 ,163.000 ,48.600 
1999,Tianjin,562.900 ,431.000 ,61.100 ,143.200 ,168.600 ,37.800 
2000,Tianjin,533.140 ,345.900 ,35.400 ,121.700 ,131.200 ,40.800 
2001,Tianjin,544.522 ,328.510 ,11.430 ,106.700 ,140.940 ,48.390 
2002,Tianjin,522.800 ,311.300 ,14.900 ,95.900 ,146.500 ,36.900 
2003,Tianjin,501.460 ,258.100 ,7.000 ,78.300 ,124.900 ,32.300 
2004,Tianjin,504.301 ,263.536 ,13.690 ,78.960 ,134.755 ,30.065 
2005,Tianjin,499.420 ,287.660 ,16.700 ,98.860 ,138.840 ,28.050 
2006,Tianjin,513.850 ,295.210 ,16.990 ,107.800 ,143.380 ,22.060 
2007,Tianjin,433.950 ,292.010 ,14.350 ,104.850 ,162.180 ,9.610 
2008,Tianjin,446.280 ,293.510 ,15.020 ,107.690 ,159.780 ,9.900 
2009,Tianjin,455.200 ,306.640 ,16.030 ,110.190 ,165.910 ,12.970 
2010,Tianjin,459.270 ,311.780 ,15.790 ,110.510 ,168.930 ,14.510 
2011,Tianjin,467.980 ,310.790 ,14.240 ,112.270 ,169.010 ,12.830 
2012,Tianjin,478.970 ,322.920 ,14.600 ,113.120 ,179.330 ,12.240 
2013,Tianjin,473.511 ,332.790 ,16.810 ,110.380 ,191.670 ,7.530 
2014,Tianjin,479.027 ,345.822 ,16.373 ,110.660 ,202.799 ,8.173 
2015,Tianjin,469.024 ,350.039 ,15.380 ,109.185 ,214.747 ,6.258 
2016,Tianjin,479.169 ,357.254 ,17.675 ,110.913 ,218.437 ,5.147 
2017,Tianjin,439.519 ,351.402 ,30.490 ,108.767 ,201.422 ,3.777 
2018,Tianjin,429.274 ,350.210 ,39.898 ,110.840 ,186.772 ,6.524 
2019,Tianjin,410.271 ,339.269 ,45.530 ,101.120 ,180.776 ,5.470 
2020,Tianjin,419.171 ,350.204 ,53.446 ,103.956 ,178.861 ,4.398 
2021,Tianjin,437.002 ,373.475 ,58.503 ,118.514 ,185.633 ,2.624 
2022,Tianjin,443.511 ,376.668 ,55.255 ,118.773 ,187.244 ,4.827 
1997,Hebei,8857.000 ,7099.400 ,155.300 ,2720.700 ,2425.900 ,610.200 
1998,Hebei,9097.700 ,7305.700 ,153.200 ,2764.000 ,2581.000 ,647.800 
1999,Hebei,9055.200 ,7236.120 ,154.660 ,2729.880 ,2663.760 ,584.600 
2000,Hebei,9024.390 ,6918.670 ,143.930 ,2678.800 ,2478.570 ,592.150 
2001,Hebei,8990.810 ,6628.930 ,94.070 ,2579.780 ,2543.410 ,483.950 
2002,Hebei,8935.100 ,6484.400 ,111.000 ,2449.600 ,2577.400 ,452.100 
2003,Hebei,8638.500 ,5943.980 ,75.580 ,2192.920 ,2488.810 ,383.960 
2004,Hebei,8695.353 ,6003.420 ,83.530 ,2161.490 ,2630.570 ,359.720 
2005,Hebei,8785.477 ,6240.240 ,87.660 ,2377.140 ,2677.400 ,333.110 
2006,Hebei,8777.347 ,6199.440 ,92.220 ,2419.970 ,2658.060 ,304.600 
2007,Hebei,8652.702 ,6168.230 ,84.520 ,2412.390 ,2862.580 ,248.370 
2008,Hebei,8713.170 ,6158.110 ,81.530 ,2416.140 ,2841.070 ,249.620 
2009,Hebei,8682.500 ,6216.500 ,85.100 ,2394.470 ,2950.470 ,219.340 
2010,Hebei,8718.390 ,6282.200 ,79.690 ,2420.330 ,3008.590 ,194.430 
2011,Hebei,8773.690 ,6286.110 ,83.020 ,2396.050 ,3035.780 ,179.340 
2012,Hebei,8781.787 ,6302.370 ,85.920 ,2409.970 ,3049.140 ,171.750 
2013,Hebei,8749.220 ,6315.870 ,86.820 ,2377.740 ,3108.770 ,166.380 
2014,Hebei,8713.080 ,6332.000 ,84.840 ,2342.740 ,3170.880 ,162.330 
2015,Hebei,8739.837 ,6392.480 ,84.790 ,2318.870 ,3248.080 ,153.720 
2016,Hebei,8716.636 ,6327.410 ,81.520 ,2313.900 ,3191.050 ,145.610 
2017,Hebei,8381.650 ,6658.515 ,75.020 ,2373.359 ,3544.058 ,90.121 
2018,Hebei,8197.129 ,6538.677 ,78.430 ,2357.187 ,3437.740 ,115.970 
2019,Hebei,8132.691 ,6469.174 ,78.173 ,2322.500 ,3408.200 ,125.083 
2020,Hebei,8089.439 ,6388.798 ,78.720 ,2216.923 ,3417.100 ,122.130 
2021,Hebei,8097.203 ,6428.606 ,78.351 ,2246.580 ,3454.108 ,96.711 
2022,Hebei,8113.987 ,6443.776 ,76.593 ,2247.287 ,3455.867 ,125.032 
1997,Shanxi,3824.900 ,3128.100 ,6.100 ,951.200 ,822.800 ,392.700 
1998,Shanxi,4038.000 ,3296.700 ,6.100 ,963.400 ,886.600 ,466.500 
1999,Shanxi,3970.800 ,3239.230 ,5.940 ,919.240 ,922.960 ,440.580 
2000,Shanxi,4042.420 ,3186.460 ,4.530 ,893.230 ,793.680 ,484.110 
2001,Shanxi,3672.250 ,2877.090 ,5.100 ,820.550 ,837.750 ,384.770 
2002,Shanxi,3900.500 ,3011.000 ,3.500 ,798.100 ,891.000 ,423.900 
2003,Shanxi,3707.950 ,2833.640 ,3.110 ,720.550 ,915.450 ,355.000 
2004,Shanxi,3741.480 ,2925.380 ,2.640 ,648.890 ,1125.630 ,348.820 
2005,Shanxi,3795.350 ,3033.590 ,2.680 ,721.030 ,1183.720 ,346.250 
2006,Shanxi,3822.930 ,3121.940 ,1.780 ,733.590 ,1225.610 ,358.030 
2007,Shanxi,3653.154 ,3028.210 ,1.480 ,712.270 ,1270.470 ,348.410 
2008,Shanxi,3726.490 ,3111.330 ,1.140 ,697.390 ,1378.550 ,347.710 
2009,Shanxi,3717.858 ,3146.670 ,1.140 ,727.470 ,1451.230 ,336.380 
2010,Shanxi,3763.920 ,3239.230 ,1.040 ,728.470 ,1548.930 ,334.030 
2011,Shanxi,3797.420 ,3287.850 ,1.020 ,710.130 ,1646.710 ,321.250 
2012,Shanxi,3808.144 ,3291.500 ,1.010 ,688.970 ,1668.970 ,324.300 
2013,Shanxi,3782.442 ,3274.300 ,0.980 ,677.470 ,1670.040 ,320.250 
2014,Shanxi,3783.433 ,3286.380 ,0.900 ,673.870 ,1676.530 ,323.210 
2015,Shanxi,3767.710 ,3287.190 ,0.700 ,675.090 ,1676.860 ,318.780 
2016,Shanxi,3720.809 ,3241.420 ,0.700 ,672.940 ,1624.750 ,321.420 
2017,Shanxi,3577.619 ,3180.919 ,0.764 ,560.530 ,1806.854 ,238.286 
2018,Shanxi,3555.165 ,3137.060 ,0.800 ,560.267 ,1747.667 ,250.727 
2019,Shanxi,3524.418 ,3126.167 ,2.533 ,546.800 ,1715.040 ,225.673 
2020,Shanxi,3541.513 ,3130.018 ,2.446 ,535.879 ,1742.220 ,183.840 
2021,Shanxi,3587.951 ,3138.061 ,2.647 ,536.841 ,1772.567 ,145.113 
2022,Shanxi,3611.586 ,3150.331 ,2.158 ,535.050 ,1813.876 ,153.900 
1997,Inner_Mongolia,5838.300 ,4906.400 ,122.100 ,1164.600 ,1279.300 ,1052.200 
1998,Inner_Mongolia,6027.000 ,5030.700 ,117.800 ,1092.500 ,1470.800 ,1124.700 
1999,Inner_Mongolia,6077.000 ,4950.990 ,116.850 ,937.940 ,1571.560 ,1059.780 
2000,Inner_Mongolia,5914.360 ,4435.900 ,118.400 ,617.100 ,1298.200 ,1137.400 
