i,r,x0
Anhui,maize,0.1711606723410826
Anhui,rice,0.3482223565594591
Anhui,soybean,0.0889905027947674
Anhui,wheat,0.3916264683046908
Beijing,maize,0.7763137835659998
Beijing,rice,0.0044210205370559
Beijing,soybean,0.0365224208898665
Beijing,wheat,0.1827427750070779
Chongqing,maize,0.3343699713199352
Chongqing,rice,0.4984249472581039
Chongqing,soybean,0.1531585229539102
Chongqing,wheat,0.0140465584680507
Fujian,maize,0.0488059132910252
Fujian,rice,0.8884657750267995
Fujian,soybean,0.0626087110596615
Fujian,wheat,0.0001196006225138
Gansu,maize,0.533274116827736
Gansu,rice,0.0018084656868413
Gansu,soybean,0.0872837793842371
Gansu,wheat,0.3776336381011856
Guangdong,maize,0.0615872444284398
Guangdong,rice,0.9174718921297964
Guangdong,soybean,0.0209408634417636
Guangdong,wheat,0.0
Guangxi,maize,0.2370860685181926
Guangxi,rice,0.6990240905431742
Guangxi,soybean,0.0638898409386332
Guangxi,wheat,0.0
Guizhou,maize,0.305563341661081
Guizhou,rice,0.4052891353360551
Guizhou,soybean,0.2050271159588081
Guizhou,wheat,0.0841204070440558
Hainan,maize,0.0
Hainan,rice,0.9771820497073136
Hainan,soybean,0.0228179502926864
Hainan,wheat,0.0
Hebei,maize,0.5856339975180267
Hebei,rice,0.0134912962115884
Hebei,soybean,0.0209310468282685
Hebei,wheat,0.3799436594421164
Heilongjiang,maize,0.3824102239025448
Heilongjiang,rice,0.2701683411940003
Heilongjiang,soybean,0.3440205611187069
Heilongjiang,wheat,0.003400873784748
Henan,maize,0.3631054277366932
Henan,rice,0.0586854058248881
Henan,soybean,0.0386243114519614
Henan,wheat,0.5395848549864574
Hubei,maize,0.1744021436877496
Hubei,rice,0.5289473916131047
Hubei,soybean,0.0574520469537007
Hubei,wheat,0.2391984177454449
Hunan,maize,0.0844371806531261
Hunan,rice,0.8773334563491542
Hunan,soybean,0.0331220097270366
Hunan,wheat,0.0051073532706831
Inner_Mongolia,maize,0.6542797413337322
Inner_Mongolia,rice,0.0275244411699183
Inner_Mongolia,soybean,0.2362449657298335
Inner_Mongolia,wheat,0.0819508517665159
Jiangsu,maize,0.0957702775846336
Jiangsu,rice,0.4138547517940489
Jiangsu,soybean,0.0509600605853717
Jiangsu,wheat,0.4394149100359458
Jiangxi,maize,0.0130536846493056
Jiangxi,rice,0.9438773831201598
Jiangxi,soybean,0.0391199183870472
Jiangxi,wheat,0.0039490138434874
Jilin,maize,0.7762782609451411
Jilin,rice,0.1515788322478967
Jilin,soybean,0.0712804844485132
Jilin,wheat,0.000862422358449
Liaoning,maize,0.8084272896786487
Liaoning,rice,0.1558589166333729
Liaoning,soybean,0.0347922498069759
Liaoning,wheat,0.0009215438810025
Ningxia,maize,0.6598041420481263
Ningxia,rice,0.1243432216384192
Ningxia,soybean,0.0258826896735019
Ningxia,wheat,0.1899699466399525
Qinghai,maize,0.1630426489662012
Qinghai,rice,0.0
Qinghai,soybean,0.1137560082398718
Qinghai,wheat,0.723201342793927
Shaanxi,maize,0.4839746785682485
Shaanxi,rice,0.043121690842011
Shaanxi,soybean,0.0772540025859801
Shaanxi,wheat,0.3956496280037604
Shandong,maize,0.4772621496516783
Shandong,rice,0.0138674040982439
Shandong,soybean,0.023799182225203
Shandong,wheat,0.4850712640248747
Shanghai,maize,0.0109133898559291
Shanghai,rice,0.9181010525201374
Shanghai,soybean,0.0047464864531041
Shanghai,wheat,0.0662390711708294
Shanxi,maize,0.7069593427974932
Shanxi,rice,0.0009925397208634
Shanxi,soybean,0.0745987335582711
Shanxi,wheat,0.2174493839233723
Sichuan,maize,0.3752302655065842
Sichuan,rice,0.3807301176062588
Sichuan,soybean,0.1222880690337518
Sichuan,wheat,0.1217515478534052
Tianjin,maize,0.5250410231872742
Tianjin,rice,0.1568891067659638
Tianjin,soybean,0.0129101951793718
Tianjin,wheat,0.3051596748673901
Tibet,maize,0.1094935613831286
Tibet,rice,0.0234064114288539
Tibet,soybean,0.1290195012234608
Tibet,wheat,0.7380805259645568
Xinjiang,maize,0.4776674937965261
Xinjiang,rice,0.0216462611003553
Xinjiang,soybean,0.014851980112526
Xinjiang,wheat,0.4858342649905926
Yunnan,maize,0.5261125904884164
Yunnan,rice,0.2390356542092492
Yunnan,soybean,0.1414481240610381
Yunnan,wheat,0.0934036312412963
Zhejiang,maize,0.0696576229096769
Zhejiang,rice,0.7001041308923116
Zhejiang,soybean,0.1274733838797453
Zhejiang,wheat,0.1027648623182662
