i,c,t,s,k,exposure
Anhui,maize,1997,historical,compound,0.02174770056413386
Anhui,maize,1997,historical,drought,0.9558182015012457
Anhui,maize,1997,historical,heat,-0.30415740034848243
Anhui,maize,1998,historical,compound,-0.1416586654652281
Anhui,maize,1998,historical,drought,-0.9798024307845629
Anhui,maize,1998,historical,heat,0.044555762803215125
Anhui,maize,1999,historical,compound,-0.16777750087204393
Anhui,maize,1999,historical,drought,-1.6759457229972858
Anhui,maize,1999,historical,heat,-0.47219207841136795
Anhui,maize,2000,historical,compound,0.09297587465551833
Anhui,maize,2000,historical,drought,0.5412425567674365
Anhui,maize,2000,historical,heat,0.03319986799615641
Anhui,maize,2001,historical,compound,-0.5312054136045694
Anhui,maize,2001,historical,drought,1.5059694269593846
Anhui,maize,2001,historical,heat,-0.18549107390331288
Anhui,maize,2002,historical,compound,0.9870913141413707
Anhui,maize,2002,historical,drought,-0.9219542946983957
Anhui,maize,2002,historical,heat,-0.052602457285316845
Anhui,maize,2003,historical,compound,-0.48777968308126773
Anhui,maize,2003,historical,drought,-1.367788309904496
Anhui,maize,2003,historical,heat,-0.3682627527316285
Anhui,maize,2004,historical,compound,0.022247258473744355
Anhui,maize,2004,historical,drought,0.49276752551064257
Anhui,maize,2004,historical,heat,0.3103766520948483
Anhui,maize,2005,historical,compound,0.3583012552293962
Anhui,maize,2005,historical,drought,0.13604849987626957
Anhui,maize,2005,historical,heat,0.24013793210724224
Anhui,maize,2006,historical,compound,-0.23096628098273422
Anhui,maize,2006,historical,drought,1.1651824074762116
Anhui,maize,2006,historical,heat,-0.10879924602782139
Anhui,maize,2007,historical,compound,-0.06298865903612157
Anhui,maize,2007,historical,drought,0.24366262578129896
Anhui,maize,2007,historical,heat,-0.04857914587446891
Anhui,maize,2008,historical,compound,-0.6687449098270818
Anhui,maize,2008,historical,drought,-0.31282815266191394
Anhui,maize,2008,historical,heat,-0.5710967627648712
Anhui,maize,2009,historical,compound,-0.19743333578222141
Anhui,maize,2009,historical,drought,0.6167039307333205
Anhui,maize,2009,historical,heat,-0.26540105850188317
Anhui,maize,2010,historical,compound,-0.4239094553888527
Anhui,maize,2010,historical,drought,-0.0045725611675258016
Anhui,maize,2010,historical,heat,-0.07661316046094592
Anhui,maize,2011,historical,compound,-0.2150356618482104
Anhui,maize,2011,historical,drought,0.878277845691406
Anhui,maize,2011,historical,heat,0.13209020782766134
Anhui,maize,2012,historical,compound,0.08044220569087586
Anhui,maize,2012,historical,drought,0.9581650261545444
Anhui,maize,2012,historical,heat,-0.23454736876703097
Anhui,maize,2013,historical,compound,1.0235890456063303
Anhui,maize,2013,historical,drought,1.7701072520108827
Anhui,maize,2013,historical,heat,0.5953134202807898
Anhui,maize,2014,historical,compound,-0.2903422336912008
Anhui,maize,2014,historical,drought,-0.8300108089158668
Anhui,maize,2014,historical,heat,-0.5653909775728255
Anhui,maize,2015,historical,compound,-1.0338982710595082
Anhui,maize,2015,historical,drought,-1.2398296498419217
Anhui,maize,2015,historical,heat,-1.0440446647439174
Anhui,maize,2016,historical,compound,-0.48768309909732444
Anhui,maize,2016,historical,drought,-1.9014505080538788
Anhui,maize,2016,historical,heat,-0.2872338258548238
Anhui,maize,2017,historical,compound,-0.17868372507014718
Anhui,maize,2017,historical,drought,-0.9769970891694534
Anhui,maize,2017,historical,heat,-0.17237530201204657
Anhui,maize,2018,historical,compound,-0.12744517007573627
Anhui,maize,2018,historical,drought,-0.9945014471130628
Anhui,maize,2018,historical,heat,-0.18250268307292658
Anhui,maize,2019,historical,compound,0.4413953031394386
Anhui,maize,2019,historical,drought,1.2265133875401146
Anhui,maize,2019,historical,heat,-0.18734710836689925
Anhui,maize,2020,historical,compound,0.5205985883234053
Anhui,maize,2020,historical,drought,-0.9078400573460176
Anhui,maize,2020,historical,heat,0.836815002286991
Anhui,maize,2021,historical,compound,0.3524952400994061
Anhui,maize,2021,historical,drought,-1.0361587836864412
Anhui,maize,2021,historical,heat,0.6963909509730545
Anhui,maize,2022,historical,compound,1.344668278958627
Anhui,maize,2022,historical,drought,2.6592211303380653
Anhui,maize,2022,historical,heat,2.237757270330613
Anhui,rice,1997,historical,compound,-0.25022501233437516
Anhui,rice,1997,historical,drought,1.227627882288011
Anhui,rice,1997,historical,heat,-0.43547927362301975
Anhui,rice,1998,historical,compound,0.8767871838339398
Anhui,rice,1998,historical,drought,-0.5065055214297126
Anhui,rice,1998,historical,heat,0.481744952515919
Anhui,rice,1999,historical,compound,-0.3317818738697138
Anhui,rice,1999,historical,drought,-1.8406913591164162
Anhui,rice,1999,historical,heat,-0.5797009193466955
Anhui,rice,2000,historical,compound,-0.2910034431020445
Anhui,rice,2000,historical,drought,0.06743201986556342
Anhui,rice,2000,historical,heat,-0.3457721957948274
Anhui,rice,2001,historical,compound,-0.6987877507787378
Anhui,rice,2001,historical,drought,0.9057227302055847
Anhui,rice,2001,historical,heat,-0.298278961944251
Anhui,rice,2002,historical,compound,1.118567746418948
Anhui,rice,2002,historical,drought,-0.7134514328601435
Anhui,rice,2002,historical,heat,-0.0037007432769526707
Anhui,rice,2003,historical,compound,-0.49489559694039115
Anhui,rice,2003,historical,drought,-1.7668470048087555
Anhui,rice,2003,historical,heat,-0.34992835821188545
Anhui,rice,2004,historical,compound,0.2827846096663338
Anhui,rice,2004,historical,drought,1.210400742787395
Anhui,rice,2004,historical,heat,0.84940887317882
Anhui,rice,2005,historical,compound,0.8143492206565387
Anhui,rice,2005,historical,drought,0.5514452781893011
Anhui,rice,2005,historical,heat,0.45205137578445814
Anhui,rice,2006,historical,compound,-0.41333873540505245
Anhui,rice,2006,historical,drought,0.8499831603944408
Anhui,rice,2006,historical,heat,-0.19986265209849
Anhui,rice,2007,historical,compound,-0.41333873540505245
Anhui,rice,2007,historical,drought,0.32636717418999533
Anhui,rice,2007,historical,heat,-0.3967356235521924
Anhui,rice,2008,historical,compound,-0.7803446123140764
Anhui,rice,2008,historical,drought,-0.5304724548792041
Anhui,rice,2008,historical,heat,-0.5886857621230565
Anhui,rice,2009,historical,compound,-0.3725603046373831
Anhui,rice,2009,historical,drought,1.4471413292074924
Anhui,rice,2009,historical,heat,-0.3310440478044874
Anhui,rice,2010,historical,compound,-0.5356740277080604
Anhui,rice,2010,historical,drought,-0.5251875659157218
Anhui,rice,2010,historical,heat,-0.21257324539051262
Anhui,rice,2011,historical,compound,0.0381140250603178
Anhui,rice,2011,historical,drought,1.453683052251839
Anhui,rice,2011,historical,heat,0.4931899445761396
Anhui,rice,2012,historical,compound,-0.08711128926369788
Anhui,rice,2012,historical,drought,1.6712645744580341
Anhui,rice,2012,historical,heat,-0.2335154615030359
Anhui,rice,2013,historical,compound,0.6483454755648538
Anhui,rice,2013,historical,drought,1.9535298453902579
Anhui,rice,2013,historical,heat,0.25753443067307913
Anhui,rice,2014,historical,compound,-0.45411716617272174
Anhui,rice,2014,historical,drought,-1.2528840518459783
Anhui,rice,2014,historical,heat,-0.6150350245946474
Anhui,rice,2015,historical,compound,-0.861901473849415
Anhui,rice,2015,historical,drought,-1.1958031270070701
Anhui,rice,2015,historical,heat,-0.8020623301083568
Anhui,rice,2016,historical,compound,-0.49489559694039115
Anhui,rice,2016,historical,drought,-4.0411270758367
Anhui,rice,2016,historical,heat,-0.31922117834730207
Anhui,rice,2017,historical,compound,-0.41333873540505245
Anhui,rice,2017,historical,drought,-1.1955361400710058
Anhui,rice,2017,historical,heat,-0.3000082948831412
Anhui,rice,2018,historical,compound,-0.25022501233437516
Anhui,rice,2018,historical,drought,0.1758558546797715
Anhui,rice,2018,historical,heat,-0.26737002646457186
Anhui,rice,2019,historical,compound,0.37300372089078254
