i,c,value
Anhui,maize,0.1
Anhui,rice,0.15
Anhui,soybean,0.0
Anhui,wheat,0.15
Beijing,maize,0.25
Beijing,rice,0.0
Beijing,soybean,0.0
Beijing,wheat,0.30000000000000004
Chongqing,maize,0.05000000000000002
Chongqing,rice,0.4
Chongqing,soybean,0.0
Chongqing,wheat,0.0
Fujian,maize,0.0
Fujian,rice,0.6
Fujian,soybean,0.0
Fujian,wheat,0.0
Gansu,maize,0.25
Gansu,rice,0.0
Gansu,soybean,0.0
Gansu,wheat,0.30000000000000004
Guangdong,maize,0.0
Guangdong,rice,0.6
Guangdong,soybean,0.0
Guangdong,wheat,0.0
Guangxi,maize,0.0
Guangxi,rice,0.5499999999999999
Guangxi,soybean,0.0
Guangxi,wheat,0.0
Guizhou,maize,0.1
Guizhou,rice,0.30000000000000004
Guizhou,soybean,0.0
Guizhou,wheat,0.0
Hainan,maize,0.0
Hainan,rice,0.65
Hainan,soybean,0.0
Hainan,wheat,0.0
Hebei,maize,0.30000000000000004
Hebei,rice,0.0
Hebei,soybean,0.0
Hebei,wheat,0.19999999999999998
Heilongjiang,maize,0.25
Heilongjiang,rice,0.0
Heilongjiang,soybean,0.19999999999999998
Heilongjiang,wheat,0.0
Henan,maize,0.25
Henan,rice,0.0
Henan,soybean,0.0
Henan,wheat,0.25
Hubei,maize,0.05000000000000002
Hubei,rice,0.30000000000000004
Hubei,soybean,0.0
Hubei,wheat,0.05000000000000002
Hunan,maize,0.0
Hunan,rice,0.5
Hunan,soybean,0.0
Hunan,wheat,0.0
Inner_Mongolia,maize,0.30000000000000004
Inner_Mongolia,rice,0.0
Inner_Mongolia,soybean,0.05000000000000002
Inner_Mongolia,wheat,0.15
Jiangsu,maize,0.1
Jiangsu,rice,0.19999999999999998
Jiangsu,soybean,0.0
Jiangsu,wheat,0.15
Jiangxi,maize,0.0
Jiangxi,rice,0.5499999999999999
Jiangxi,soybean,0.0
Jiangxi,wheat,0.0
Jilin,maize,0.30000000000000004
Jilin,rice,0.0
Jilin,soybean,0.15
Jilin,wheat,0.05000000000000002
Liaoning,maize,0.30000000000000004
Liaoning,rice,0.0
Liaoning,soybean,0.05000000000000002
Liaoning,wheat,0.05000000000000002
Ningxia,maize,0.19999999999999998
Ningxia,rice,0.0
Ningxia,soybean,0.0
Ningxia,wheat,0.25
Qinghai,maize,0.1
Qinghai,rice,0.0
Qinghai,soybean,0.0
Qinghai,wheat,0.44999999999999996
Shaanxi,maize,0.25
Shaanxi,rice,0.0
Shaanxi,soybean,0.0
Shaanxi,wheat,0.19999999999999998
Shandong,maize,0.30000000000000004
Shandong,rice,0.0
Shandong,soybean,0.0
Shandong,wheat,0.19999999999999998
Shanghai,maize,0.0
Shanghai,rice,0.30000000000000004
Shanghai,soybean,0.0
Shanghai,wheat,0.1
Shanxi,maize,0.25
Shanxi,rice,0.0
Shanxi,soybean,0.05000000000000002
Shanxi,wheat,0.19999999999999998
Sichuan,maize,0.05000000000000002
Sichuan,rice,0.30000000000000004
Sichuan,soybean,0.0
Sichuan,wheat,0.05000000000000002
Tianjin,maize,0.25
Tianjin,rice,0.0
Tianjin,soybean,0.0
Tianjin,wheat,0.19999999999999998
Tibet,maize,0.0
Tibet,rice,0.0
Tibet,soybean,0.0
Tibet,wheat,0.5
Xinjiang,maize,0.15
Xinjiang,rice,0.0
Xinjiang,soybean,0.0
Xinjiang,wheat,0.30000000000000004
Yunnan,maize,0.15
Yunnan,rice,0.25
Yunnan,soybean,0.0
Yunnan,wheat,0.0
Zhejiang,maize,0.0
Zhejiang,rice,0.5499999999999999
Zhejiang,soybean,0.0
Zhejiang,wheat,0.0
