i,c,value
Anhui,maize,0.4
Anhui,rice,0.44999999999999996
Anhui,soybean,0.3
Anhui,wheat,0.44999999999999996
Beijing,maize,0.55
Beijing,rice,0.15
Beijing,soybean,0.3
Beijing,wheat,0.6
Chongqing,maize,0.35
Chongqing,rice,0.7000000000000001
Chongqing,soybean,0.25
Chongqing,wheat,0.3
Fujian,maize,0.25
Fujian,rice,0.9
Fujian,soybean,0.25
Fujian,wheat,0.2
Gansu,maize,0.55
Gansu,rice,0.2
Gansu,soybean,0.25
Gansu,wheat,0.6
Guangdong,maize,0.25
Guangdong,rice,0.9
Guangdong,soybean,0.25
Guangdong,wheat,0.2
Guangxi,maize,0.3
Guangxi,rice,0.85
Guangxi,soybean,0.25
Guangxi,wheat,0.2
Guizhou,maize,0.4
Guizhou,rice,0.6
Guizhou,soybean,0.3
Guizhou,wheat,0.3
Hainan,maize,0.25
Hainan,rice,0.9500000000000001
Hainan,soybean,0.2
Hainan,wheat,0.2
Hebei,maize,0.6
Hebei,rice,0.2
Hebei,soybean,0.3
Hebei,wheat,0.5
Heilongjiang,maize,0.55
Heilongjiang,rice,0.3
Heilongjiang,soybean,0.5
Heilongjiang,wheat,0.25
Henan,maize,0.55
Henan,rice,0.25
Henan,soybean,0.25
Henan,wheat,0.55
Hubei,maize,0.35
Hubei,rice,0.6
Hubei,soybean,0.3
Hubei,wheat,0.35
Hunan,maize,0.25
Hunan,rice,0.8
Hunan,soybean,0.3
Hunan,wheat,0.25
Inner_Mongolia,maize,0.6
Inner_Mongolia,rice,0.2
Inner_Mongolia,soybean,0.35
Inner_Mongolia,wheat,0.44999999999999996
Jiangsu,maize,0.4
Jiangsu,rice,0.5
Jiangsu,soybean,0.25
Jiangsu,wheat,0.44999999999999996
Jiangxi,maize,0.25
Jiangxi,rice,0.85
Jiangxi,soybean,0.25
Jiangxi,wheat,0.25
Jilin,maize,0.6
Jilin,rice,0.2
Jilin,soybean,0.44999999999999996
Jilin,wheat,0.35
Liaoning,maize,0.6
Liaoning,rice,0.3
Liaoning,soybean,0.35
Liaoning,wheat,0.35
Ningxia,maize,0.5
Ningxia,rice,0.3
Ningxia,soybean,0.25
Ningxia,wheat,0.55
Qinghai,maize,0.4
Qinghai,rice,0.15
Qinghai,soybean,0.3
Qinghai,wheat,0.75
Shaanxi,maize,0.55
Shaanxi,rice,0.25
Shaanxi,soybean,0.3
Shaanxi,wheat,0.5
Shandong,maize,0.6
Shandong,rice,0.25
Shandong,soybean,0.25
Shandong,wheat,0.5
Shanghai,maize,0.3
Shanghai,rice,0.6
Shanghai,soybean,0.3
Shanghai,wheat,0.4
Shanxi,maize,0.55
Shanxi,rice,0.2
Shanxi,soybean,0.35
Shanxi,wheat,0.5
Sichuan,maize,0.35
Sichuan,rice,0.6
Sichuan,soybean,0.3
Sichuan,wheat,0.35
Tianjin,maize,0.55
Tianjin,rice,0.25
Tianjin,soybean,0.3
Tianjin,wheat,0.5
Tibet,maize,0.3
Tibet,rice,0.2
Tibet,soybean,0.3
Tibet,wheat,0.8
Xinjiang,maize,0.44999999999999996
Xinjiang,rice,0.25
Xinjiang,soybean,0.3
Xinjiang,wheat,0.6
Yunnan,maize,0.44999999999999996
Yunnan,rice,0.55
Yunnan,soybean,0.3
Yunnan,wheat,0.3
Zhejiang,maize,0.25
Zhejiang,rice,0.85
Zhejiang,soybean,0.25
Zhejiang,wheat,0.25
