i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,1.4507076672393753
Anhui,1997,maize,spring,harvesting,0.3297591772019614
Anhui,1997,maize,spring,sowing,-0.3813094157348196
Anhui,1997,maize,summer,growing,0.9502107371739831
Anhui,1997,maize,summer,harvesting,1.9614378955466476
Anhui,1997,maize,summer,sowing,1.4241031475803263
Anhui,1997,rice,single,growing,1.5647689417856683
Anhui,1997,rice,single,harvesting,1.7932980086379917
Anhui,1997,rice,single,sowing,0.3248166964403728
Anhui,1997,soybean,single,growing,0.9502107371739831
Anhui,1997,soybean,single,harvesting,1.9614378955466476
Anhui,1997,soybean,single,sowing,1.4241031475803263
Anhui,1998,maize,spring,growing,-2.0459081793994494
Anhui,1998,maize,spring,harvesting,0.03786185367536385
Anhui,1998,maize,spring,sowing,-2.8378690745526463
Anhui,1998,maize,summer,growing,-1.022749838502
Anhui,1998,maize,summer,harvesting,2.296076939639164
Anhui,1998,maize,summer,sowing,-2.306226285567809
Anhui,1998,rice,single,growing,-0.9816199693884882
Anhui,1998,rice,single,harvesting,1.3680316409714504
Anhui,1998,rice,single,sowing,-1.9059282358721
Anhui,1998,soybean,single,growing,-1.022749838502
Anhui,1998,soybean,single,harvesting,2.296076939639164
Anhui,1998,soybean,single,sowing,-2.306226285567809
Anhui,1998,wheat,winter,growing,-0.7498844408524674
Anhui,1998,wheat,winter,harvesting,-1.4457841961324578
Anhui,1998,wheat,winter,sowing,2.148126645070054
Anhui,1999,maize,spring,growing,-2.062702991862911
Anhui,1999,maize,spring,harvesting,-1.6473918200570958
Anhui,1999,maize,spring,sowing,-2.10199723605597
Anhui,1999,maize,summer,growing,-2.439862488061326
Anhui,1999,maize,summer,harvesting,-1.2115982996244978
Anhui,1999,maize,summer,sowing,-0.5921215023219148
Anhui,1999,rice,single,growing,-1.9839368437702938
Anhui,1999,rice,single,harvesting,-2.403745713667825
Anhui,1999,rice,single,sowing,-1.1343915199111303
Anhui,1999,soybean,single,growing,-2.439862488061326
Anhui,1999,soybean,single,harvesting,-1.2115982996244978
Anhui,1999,soybean,single,sowing,-0.5921215023219148
Anhui,1999,wheat,winter,growing,0.45369444414191573
Anhui,1999,wheat,winter,harvesting,-3.419391830402008
Anhui,1999,wheat,winter,sowing,2.5071585513667696
Anhui,2000,maize,spring,growing,1.2951298172676113
Anhui,2000,maize,spring,harvesting,-0.33689702682347417
Anhui,2000,maize,spring,sowing,2.786540177689057
Anhui,2000,maize,summer,growing,0.37509342650355504
Anhui,2000,maize,summer,harvesting,-2.2717172427199985
Anhui,2000,maize,summer,sowing,1.399306188687869
Anhui,2000,rice,single,growing,0.6957298939905816
Anhui,2000,rice,single,harvesting,-2.8851539479715833
Anhui,2000,rice,single,sowing,2.3917201135776924
Anhui,2000,soybean,single,growing,0.37509342650355504
Anhui,2000,soybean,single,harvesting,-2.2717172427199985
Anhui,2000,soybean,single,sowing,1.399306188687869
Anhui,2000,wheat,winter,growing,1.0631184295780165
Anhui,2000,wheat,winter,harvesting,-1.0500904440606351
Anhui,2000,wheat,winter,sowing,-1.1487771685563943
Anhui,2001,maize,spring,growing,2.4600466665784033
Anhui,2001,maize,spring,harvesting,-0.5553232061375895
Anhui,2001,maize,spring,sowing,1.003584984217781
Anhui,2001,maize,summer,growing,1.12439297764555
Anhui,2001,maize,summer,harvesting,2.1992177049183708
Anhui,2001,maize,summer,sowing,2.803897434533792
Anhui,2001,rice,single,growing,2.613020546748784
Anhui,2001,rice,single,harvesting,0.40827407858577275
Anhui,2001,rice,single,sowing,-0.30412643471780293
Anhui,2001,soybean,single,growing,1.12439297764555
Anhui,2001,soybean,single,harvesting,2.1992177049183708
Anhui,2001,soybean,single,sowing,2.803897434533792
Anhui,2001,wheat,winter,growing,0.5131649971640482
