i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,0.3695652173913043
Anhui,1997,maize,spring,harvesting,0.25806451612903225
Anhui,1997,maize,spring,sowing,0.5573770491803278
Anhui,1997,maize,summer,growing,0.2826086956521739
Anhui,1997,maize,summer,harvesting,0.7213114754098361
Anhui,1997,maize,summer,sowing,0.5161290322580645
Anhui,1997,rice,single,growing,0.40522875816993464
Anhui,1997,rice,single,harvesting,0.7741935483870968
Anhui,1997,rice,single,sowing,0.6
Anhui,1997,soybean,single,growing,0.2826086956521739
Anhui,1997,soybean,single,harvesting,0.7213114754098361
Anhui,1997,soybean,single,sowing,0.5161290322580645
Anhui,1998,maize,spring,growing,0.3804347826086957
Anhui,1998,maize,spring,harvesting,0.16129032258064516
Anhui,1998,maize,spring,sowing,0.4262295081967213
Anhui,1998,maize,summer,growing,0.2826086956521739
Anhui,1998,maize,summer,harvesting,0.7704918032786885
Anhui,1998,maize,summer,sowing,0.45161290322580644
Anhui,1998,rice,single,growing,0.39869281045751637
Anhui,1998,rice,single,harvesting,0.8387096774193549
Anhui,1998,rice,single,sowing,0.5
Anhui,1998,soybean,single,growing,0.2826086956521739
Anhui,1998,soybean,single,harvesting,0.7704918032786885
Anhui,1998,soybean,single,sowing,0.45161290322580644
Anhui,1998,wheat,winter,growing,0.5330188679245284
Anhui,1998,wheat,winter,harvesting,0.4
Anhui,1998,wheat,winter,sowing,0.7213114754098361
Anhui,1999,maize,spring,growing,0.40217391304347827
Anhui,1999,maize,spring,harvesting,0.22580645161290322
Anhui,1999,maize,spring,sowing,0.45901639344262296
Anhui,1999,maize,summer,growing,0.29347826086956524
Anhui,1999,maize,summer,harvesting,0.5245901639344263
Anhui,1999,maize,summer,sowing,0.5483870967741935
Anhui,1999,rice,single,growing,0.38562091503267976
Anhui,1999,rice,single,harvesting,0.5483870967741935
Anhui,1999,rice,single,sowing,0.5333333333333333
Anhui,1999,soybean,single,growing,0.29347826086956524
Anhui,1999,soybean,single,harvesting,0.5245901639344263
Anhui,1999,soybean,single,sowing,0.5483870967741935
Anhui,1999,wheat,winter,growing,0.7075471698113207
Anhui,1999,wheat,winter,harvesting,0.3333333333333333
Anhui,1999,wheat,winter,sowing,0.7704918032786885
Anhui,2000,maize,spring,growing,0.45652173913043476
Anhui,2000,maize,spring,harvesting,0.22580645161290322
Anhui,2000,maize,spring,sowing,0.6885245901639344
Anhui,2000,maize,summer,growing,0.30434782608695654
Anhui,2000,maize,summer,harvesting,0.5081967213114754
Anhui,2000,maize,summer,sowing,0.6774193548387096
Anhui,2000,rice,single,growing,0.41830065359477125
Anhui,2000,rice,single,harvesting,0.5161290322580645
Anhui,2000,rice,single,sowing,0.6666666666666666
Anhui,2000,soybean,single,growing,0.30434782608695654
Anhui,2000,soybean,single,harvesting,0.5081967213114754
Anhui,2000,soybean,single,sowing,0.6774193548387096
Anhui,2000,wheat,winter,growing,0.7452830188679245
Anhui,2000,wheat,winter,harvesting,0.4
Anhui,2000,wheat,winter,sowing,0.5245901639344263
Anhui,2001,maize,spring,growing,0.41304347826086957
Anhui,2001,maize,spring,harvesting,0.1935483870967742
Anhui,2001,maize,spring,sowing,0.7049180327868853
Anhui,2001,maize,summer,growing,0.21739130434782608
Anhui,2001,maize,summer,harvesting,0.819672131147541
Anhui,2001,maize,summer,sowing,0.7741935483870968
Anhui,2001,rice,single,growing,0.46405228758169936
Anhui,2001,rice,single,harvesting,0.7419354838709677
Anhui,2001,rice,single,sowing,0.6333333333333333
Anhui,2001,soybean,single,growing,0.21739130434782608
Anhui,2001,soybean,single,harvesting,0.819672131147541
Anhui,2001,soybean,single,sowing,0.7741935483870968
Anhui,2001,wheat,winter,growing,0.6807511737089202
Anhui,2001,wheat,winter,harvesting,0.23333333333333334
Anhui,2001,wheat,winter,sowing,0.5081967213114754
Anhui,2002,maize,spring,growing,0.42391304347826086
Anhui,2002,maize,spring,harvesting,0.45161290322580644
Anhui,2002,maize,spring,sowing,0.3770491803278688
Anhui,2002,maize,summer,growing,0.45652173913043476
Anhui,2002,maize,summer,harvesting,0.7049180327868853
Anhui,2002,maize,summer,sowing,0.3548387096774194
Anhui,2002,rice,single,growing,0.49019607843137253
Anhui,2002,rice,single,harvesting,0.6774193548387096
Anhui,2002,rice,single,sowing,0.26666666666666666
Anhui,2002,soybean,single,growing,0.45652173913043476
Anhui,2002,soybean,single,harvesting,0.7049180327868853
Anhui,2002,soybean,single,sowing,0.3548387096774194
Anhui,2002,wheat,winter,growing,0.5707547169811321
Anhui,2002,wheat,winter,harvesting,0.5333333333333333
Anhui,2002,wheat,winter,sowing,0.819672131147541
Anhui,2003,maize,spring,growing,0.43478260869565216
Anhui,2003,maize,spring,harvesting,0.12903225806451613
Anhui,2003,maize,spring,sowing,0.47540983606557374
Anhui,2003,maize,summer,growing,0.29347826086956524
Anhui,2003,maize,summer,harvesting,0.6065573770491803
Anhui,2003,maize,summer,sowing,0.5483870967741935
Anhui,2003,rice,single,growing,0.39215686274509803
Anhui,2003,rice,single,harvesting,0.6774193548387096
Anhui,2003,rice,single,sowing,0.36666666666666664
Anhui,2003,soybean,single,growing,0.29347826086956524
Anhui,2003,soybean,single,harvesting,0.6065573770491803
Anhui,2003,soybean,single,sowing,0.5483870967741935
Anhui,2003,wheat,winter,growing,0.589622641509434
Anhui,2003,wheat,winter,harvesting,0.4666666666666667
Anhui,2003,wheat,winter,sowing,0.7049180327868853
Anhui,2004,maize,spring,growing,0.42391304347826086
Anhui,2004,maize,spring,harvesting,0.2903225806451613
Anhui,2004,maize,spring,sowing,0.6885245901639344
Anhui,2004,maize,summer,growing,0.34782608695652173
Anhui,2004,maize,summer,harvesting,0.7868852459016393
Anhui,2004,maize,summer,sowing,0.5161290322580645
Anhui,2004,rice,single,growing,0.43790849673202614
Anhui,2004,rice,single,harvesting,0.9354838709677419
Anhui,2004,rice,single,sowing,0.6333333333333333
Anhui,2004,soybean,single,growing,0.34782608695652173
Anhui,2004,soybean,single,harvesting,0.7868852459016393
Anhui,2004,soybean,single,sowing,0.5161290322580645
Anhui,2004,wheat,winter,growing,0.7028301886792453
Anhui,2004,wheat,winter,harvesting,0.43333333333333335
Anhui,2004,wheat,winter,sowing,0.6065573770491803
Anhui,2005,maize,spring,growing,0.40217391304347827
Anhui,2005,maize,spring,harvesting,0.2903225806451613
Anhui,2005,maize,spring,sowing,0.7377049180327869
Anhui,2005,maize,summer,growing,0.31521739130434784
Anhui,2005,maize,summer,harvesting,0.5081967213114754
Anhui,2005,maize,summer,sowing,0.5483870967741935
Anhui,2005,rice,single,growing,0.3660130718954248
Anhui,2005,rice,single,harvesting,0.6774193548387096
Anhui,2005,rice,single,sowing,0.7
Anhui,2005,soybean,single,growing,0.31521739130434784
Anhui,2005,soybean,single,harvesting,0.5081967213114754
Anhui,2005,soybean,single,sowing,0.5483870967741935
Anhui,2005,wheat,winter,growing,0.6901408450704225
Anhui,2005,wheat,winter,harvesting,0.5333333333333333
Anhui,2005,wheat,winter,sowing,0.7868852459016393
Anhui,2006,maize,spring,growing,0.3804347826086957
