i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,34
Anhui,1997,maize,spring,harvesting,8
Anhui,1997,maize,spring,sowing,34
Anhui,1997,maize,summer,growing,26
Anhui,1997,maize,summer,harvesting,44
Anhui,1997,maize,summer,sowing,16
Anhui,1997,rice,single,growing,62
Anhui,1997,rice,single,harvesting,24
Anhui,1997,rice,single,sowing,18
Anhui,1997,soybean,single,growing,26
Anhui,1997,soybean,single,harvesting,44
Anhui,1997,soybean,single,sowing,16
Anhui,1998,maize,spring,growing,35
Anhui,1998,maize,spring,harvesting,5
Anhui,1998,maize,spring,sowing,26
Anhui,1998,maize,summer,growing,26
Anhui,1998,maize,summer,harvesting,47
Anhui,1998,maize,summer,sowing,14
Anhui,1998,rice,single,growing,61
Anhui,1998,rice,single,harvesting,26
Anhui,1998,rice,single,sowing,15
Anhui,1998,soybean,single,growing,26
Anhui,1998,soybean,single,harvesting,47
Anhui,1998,soybean,single,sowing,14
Anhui,1998,wheat,winter,growing,113
Anhui,1998,wheat,winter,harvesting,12
Anhui,1998,wheat,winter,sowing,44
Anhui,1999,maize,spring,growing,37
Anhui,1999,maize,spring,harvesting,7
Anhui,1999,maize,spring,sowing,28
Anhui,1999,maize,summer,growing,27
Anhui,1999,maize,summer,harvesting,32
Anhui,1999,maize,summer,sowing,17
Anhui,1999,rice,single,growing,59
Anhui,1999,rice,single,harvesting,17
Anhui,1999,rice,single,sowing,16
Anhui,1999,soybean,single,growing,27
Anhui,1999,soybean,single,harvesting,32
Anhui,1999,soybean,single,sowing,17
Anhui,1999,wheat,winter,growing,150
Anhui,1999,wheat,winter,harvesting,10
Anhui,1999,wheat,winter,sowing,47
Anhui,2000,maize,spring,growing,42
Anhui,2000,maize,spring,harvesting,7
Anhui,2000,maize,spring,sowing,42
Anhui,2000,maize,summer,growing,28
Anhui,2000,maize,summer,harvesting,31
Anhui,2000,maize,summer,sowing,21
Anhui,2000,rice,single,growing,64
Anhui,2000,rice,single,harvesting,16
Anhui,2000,rice,single,sowing,20
Anhui,2000,soybean,single,growing,28
Anhui,2000,soybean,single,harvesting,31
Anhui,2000,soybean,single,sowing,21
Anhui,2000,wheat,winter,growing,158
Anhui,2000,wheat,winter,harvesting,12
Anhui,2000,wheat,winter,sowing,32
Anhui,2001,maize,spring,growing,38
Anhui,2001,maize,spring,harvesting,6
Anhui,2001,maize,spring,sowing,43
Anhui,2001,maize,summer,growing,20
Anhui,2001,maize,summer,harvesting,50
Anhui,2001,maize,summer,sowing,24
Anhui,2001,rice,single,growing,71
Anhui,2001,rice,single,harvesting,23
Anhui,2001,rice,single,sowing,19
Anhui,2001,soybean,single,growing,20
Anhui,2001,soybean,single,harvesting,50
Anhui,2001,soybean,single,sowing,24
Anhui,2001,wheat,winter,growing,145
Anhui,2001,wheat,winter,harvesting,7
Anhui,2001,wheat,winter,sowing,31
Anhui,2002,maize,spring,growing,39
Anhui,2002,maize,spring,harvesting,14
Anhui,2002,maize,spring,sowing,23
Anhui,2002,maize,summer,growing,42
Anhui,2002,maize,summer,harvesting,43
Anhui,2002,maize,summer,sowing,11
Anhui,2002,rice,single,growing,75
Anhui,2002,rice,single,harvesting,21
Anhui,2002,rice,single,sowing,8
Anhui,2002,soybean,single,growing,42
Anhui,2002,soybean,single,harvesting,43
Anhui,2002,soybean,single,sowing,11
Anhui,2002,wheat,winter,growing,121
Anhui,2002,wheat,winter,harvesting,16
Anhui,2002,wheat,winter,sowing,50
Anhui,2003,maize,spring,growing,40
Anhui,2003,maize,spring,harvesting,4
Anhui,2003,maize,spring,sowing,29
Anhui,2003,maize,summer,growing,27
Anhui,2003,maize,summer,harvesting,37
Anhui,2003,maize,summer,sowing,17
Anhui,2003,rice,single,growing,60
Anhui,2003,rice,single,harvesting,21
Anhui,2003,rice,single,sowing,11
Anhui,2003,soybean,single,growing,27
Anhui,2003,soybean,single,harvesting,37
Anhui,2003,soybean,single,sowing,17
Anhui,2003,wheat,winter,growing,125
Anhui,2003,wheat,winter,harvesting,14
Anhui,2003,wheat,winter,sowing,43
Anhui,2004,maize,spring,growing,39
Anhui,2004,maize,spring,harvesting,9
Anhui,2004,maize,spring,sowing,42
Anhui,2004,maize,summer,growing,32
Anhui,2004,maize,summer,harvesting,48
Anhui,2004,maize,summer,sowing,16
Anhui,2004,rice,single,growing,67
Anhui,2004,rice,single,harvesting,29
Anhui,2004,rice,single,sowing,19
Anhui,2004,soybean,single,growing,32
Anhui,2004,soybean,single,harvesting,48
Anhui,2004,soybean,single,sowing,16
Anhui,2004,wheat,winter,growing,149
Anhui,2004,wheat,winter,harvesting,13
Anhui,2004,wheat,winter,sowing,37
Anhui,2005,maize,spring,growing,37
Anhui,2005,maize,spring,harvesting,9
Anhui,2005,maize,spring,sowing,45
Anhui,2005,maize,summer,growing,29
Anhui,2005,maize,summer,harvesting,31
Anhui,2005,maize,summer,sowing,17
Anhui,2005,rice,single,growing,56
Anhui,2005,rice,single,harvesting,21
Anhui,2005,rice,single,sowing,21
Anhui,2005,soybean,single,growing,29
Anhui,2005,soybean,single,harvesting,31
Anhui,2005,soybean,single,sowing,17
Anhui,2005,wheat,winter,growing,147
Anhui,2005,wheat,winter,harvesting,16
Anhui,2005,wheat,winter,sowing,48
Anhui,2006,maize,spring,growing,35
Anhui,2006,maize,spring,harvesting,9
Anhui,2006,maize,spring,sowing,45
Anhui,2006,maize,summer,growing,25
Anhui,2006,maize,summer,harvesting,39
Anhui,2006,maize,summer,sowing,19
Anhui,2006,rice,single,growing,58
Anhui,2006,rice,single,harvesting,25
Anhui,2006,rice,single,sowing,18
Anhui,2006,soybean,single,growing,25
Anhui,2006,soybean,single,harvesting,39
Anhui,2006,soybean,single,sowing,19
Anhui,2006,wheat,winter,growing,147
Anhui,2006,wheat,winter,harvesting,12
Anhui,2006,wheat,winter,sowing,31
Anhui,2007,maize,spring,growing,40
Anhui,2007,maize,spring,harvesting,6
Anhui,2007,maize,spring,sowing,39
Anhui,2007,maize,summer,growing,24
Anhui,2007,maize,summer,harvesting,41
Anhui,2007,maize,summer,sowing,22
Anhui,2007,rice,single,growing,65
Anhui,2007,rice,single,harvesting,22
Anhui,2007,rice,single,sowing,21
Anhui,2007,soybean,single,growing,24
Anhui,2007,soybean,single,harvesting,41
Anhui,2007,soybean,single,sowing,22
Anhui,2007,wheat,winter,growing,142
Anhui,2007,wheat,winter,harvesting,13
Anhui,2007,wheat,winter,sowing,39
Anhui,2008,maize,spring,growing,31
Anhui,2008,maize,spring,harvesting,7
Anhui,2008,maize,spring,sowing,40
Anhui,2008,maize,summer,growing,19
Anhui,2008,maize,summer,harvesting,38
Anhui,2008,maize,summer,sowing,19
Anhui,2008,rice,single,growing,54
Anhui,2008,rice,single,harvesting,22
Anhui,2008,rice,single,sowing,20
Anhui,2008,soybean,single,growing,19
Anhui,2008,soybean,single,harvesting,38
Anhui,2008,soybean,single,sowing,19
Anhui,2008,wheat,winter,growing,149
Anhui,2008,wheat,winter,harvesting,9
Anhui,2008,wheat,winter,sowing,41
Anhui,2009,maize,spring,growing,40
Anhui,2009,maize,spring,harvesting,3
Anhui,2009,maize,spring,sowing,38
Anhui,2009,maize,summer,growing,24
Anhui,2009,maize,summer,harvesting,45
Anhui,2009,maize,summer,sowing,19
Anhui,2009,rice,single,growing,61
Anhui,2009,rice,single,harvesting,27
Anhui,2009,rice,single,sowing,21
Anhui,2009,soybean,single,growing,24
Anhui,2009,soybean,single,harvesting,45
Anhui,2009,soybean,single,sowing,19
Anhui,2009,wheat,winter,growing,145
Anhui,2009,wheat,winter,harvesting,10
Anhui,2009,wheat,winter,sowing,38
Anhui,2010,maize,spring,growing,33
Anhui,2010,maize,spring,harvesting,11
Anhui,2010,maize,spring,sowing,33
Anhui,2010,maize,summer,growing,27
Anhui,2010,maize,summer,harvesting,30
Anhui,2010,maize,summer,sowing,17
Anhui,2010,rice,single,growing,52
Anhui,2010,rice,single,harvesting,22
Anhui,2010,rice,single,sowing,16
Anhui,2010,soybean,single,growing,27
Anhui,2010,soybean,single,harvesting,30
Anhui,2010,soybean,single,sowing,17
Anhui,2010,wheat,winter,growing,132
Anhui,2010,wheat,winter,harvesting,15
Anhui,2010,wheat,winter,sowing,45
Anhui,2011,maize,spring,growing,36
Anhui,2011,maize,spring,harvesting,1
Anhui,2011,maize,spring,sowing,45
Anhui,2011,maize,summer,growing,13
Anhui,2011,maize,summer,harvesting,37
Anhui,2011,maize,summer,sowing,24
Anhui,2011,rice,single,growing,53
Anhui,2011,rice,single,harvesting,21
Anhui,2011,rice,single,sowing,21
Anhui,2011,soybean,single,growing,13
Anhui,2011,soybean,single,harvesting,37
Anhui,2011,soybean,single,sowing,24
Anhui,2011,wheat,winter,growing,169
Anhui,2011,wheat,winter,harvesting,6
Anhui,2011,wheat,winter,sowing,30
Anhui,2012,maize,spring,growing,45
Anhui,2012,maize,spring,harvesting,8
Anhui,2012,maize,spring,sowing,33
Anhui,2012,maize,summer,growing,37
Anhui,2012,maize,summer,harvesting,42
Anhui,2012,maize,summer,sowing,16
Anhui,2012,rice,single,growing,71
Anhui,2012,rice,single,harvesting,24
Anhui,2012,rice,single,sowing,21
Anhui,2012,soybean,single,growing,37
Anhui,2012,soybean,single,harvesting,42
Anhui,2012,soybean,single,sowing,16
Anhui,2012,wheat,winter,growing,134
Anhui,2012,wheat,winter,harvesting,17
Anhui,2012,wheat,winter,sowing,37
Anhui,2013,maize,spring,growing,42
Anhui,2013,maize,spring,harvesting,11
Anhui,2013,maize,spring,sowing,39
Anhui,2013,maize,summer,growing,37
Anhui,2013,maize,summer,harvesting,41
Anhui,2013,maize,summer,sowing,16
Anhui,2013,rice,single,growing,69
Anhui,2013,rice,single,harvesting,25
Anhui,2013,rice,single,sowing,21
Anhui,2013,soybean,single,growing,37
Anhui,2013,soybean,single,harvesting,41
Anhui,2013,soybean,single,sowing,16
Anhui,2013,wheat,winter,growing,133
Anhui,2013,wheat,winter,harvesting,12
Anhui,2013,wheat,winter,sowing,42
Anhui,2014,maize,spring,growing,42
Anhui,2014,maize,spring,harvesting,6
Anhui,2014,maize,spring,sowing,34
Anhui,2014,maize,summer,growing,29
Anhui,2014,maize,summer,harvesting,33
Anhui,2014,maize,summer,sowing,19
Anhui,2014,rice,single,growing,57
Anhui,2014,rice,single,harvesting,24
Anhui,2014,rice,single,sowing,15
Anhui,2014,soybean,single,growing,29
Anhui,2014,soybean,single,harvesting,33
Anhui,2014,soybean,single,sowing,19
Anhui,2014,wheat,winter,growing,141
Anhui,2014,wheat,winter,harvesting,14
Anhui,2014,wheat,winter,sowing,41
Anhui,2015,maize,spring,growing,27
Anhui,2015,maize,spring,harvesting,9
Anhui,2015,maize,spring,sowing,36
Anhui,2015,maize,summer,growing,21
Anhui,2015,maize,summer,harvesting,39
Anhui,2015,maize,summer,sowing,15
Anhui,2015,rice,single,growing,55
Anhui,2015,rice,single,harvesting,20
Anhui,2015,rice,single,sowing,18
Anhui,2015,soybean,single,growing,21
Anhui,2015,soybean,single,harvesting,39
Anhui,2015,soybean,single,sowing,15
Anhui,2015,wheat,winter,growing,137
Anhui,2015,wheat,winter,harvesting,7
Anhui,2015,wheat,winter,sowing,33
Anhui,2016,maize,spring,growing,26
Anhui,2016,maize,spring,harvesting,16
Anhui,2016,maize,spring,sowing,38
Anhui,2016,maize,summer,growing,28
Anhui,2016,maize,summer,harvesting,26
Anhui,2016,maize,summer,sowing,14
Anhui,2016,rice,single,growing,59
Anhui,2016,rice,single,harvesting,9
Anhui,2016,rice,single,sowing,13
Anhui,2016,soybean,single,growing,28
Anhui,2016,soybean,single,harvesting,26
Anhui,2016,soybean,single,sowing,14
Anhui,2016,wheat,winter,growing,127
Anhui,2016,wheat,winter,harvesting,6
Anhui,2016,wheat,winter,sowing,39
Anhui,2017,maize,spring,growing,41
Anhui,2017,maize,spring,harvesting,3
Anhui,2017,maize,spring,sowing,36
Anhui,2017,maize,summer,growing,27
Anhui,2017,maize,summer,harvesting,28
Anhui,2017,maize,summer,sowing,17
Anhui,2017,rice,single,growing,54
Anhui,2017,rice,single,harvesting,18
Anhui,2017,rice,single,sowing,20
Anhui,2017,soybean,single,growing,27
Anhui,2017,soybean,single,harvesting,28
Anhui,2017,soybean,single,sowing,17
Anhui,2017,wheat,winter,growing,141
Anhui,2017,wheat,winter,harvesting,11
Anhui,2017,wheat,winter,sowing,26
