i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,-0.4762314184480292
Anhui,1997,maize,spring,harvesting,-0.3161742576929946
Anhui,1997,maize,spring,sowing,-0.46820737958935765
Anhui,1997,maize,summer,growing,-0.5140424174809302
Anhui,1997,maize,summer,harvesting,-0.47287927415220454
Anhui,1997,maize,summer,sowing,0.42259034527262146
Anhui,1997,rice,single,growing,-0.5154499123539245
Anhui,1997,rice,single,harvesting,-0.3227805289257771
Anhui,1997,rice,single,sowing,-0.46820737958935765
Anhui,1997,soybean,single,growing,-0.5140424174809302
Anhui,1997,soybean,single,harvesting,-0.47287927415220454
Anhui,1997,soybean,single,sowing,0.42259034527262146
Anhui,1998,maize,spring,growing,-0.5360028197014274
Anhui,1998,maize,spring,harvesting,-0.0869213041377866
Anhui,1998,maize,spring,sowing,1.6786729741480815
Anhui,1998,maize,summer,growing,-0.2526192265851441
Anhui,1998,maize,summer,harvesting,0.4323300332448582
Anhui,1998,maize,summer,sowing,-0.968125080149291
Anhui,1998,rice,single,growing,-0.2786095528222043
Anhui,1998,rice,single,harvesting,0.04517143622187952
Anhui,1998,rice,single,sowing,1.6786729741480815
Anhui,1998,soybean,single,growing,-0.2526192265851441
Anhui,1998,soybean,single,harvesting,0.4323300332448582
Anhui,1998,soybean,single,sowing,-0.968125080149291
Anhui,1998,wheat,winter,growing,2.0082873901172156
Anhui,1998,wheat,winter,harvesting,-0.8206312124652908
Anhui,1998,wheat,winter,sowing,-0.4216260869007989
Anhui,1999,maize,spring,growing,-1.354981647217005
Anhui,1999,maize,spring,harvesting,-0.8504819504956233
Anhui,1999,maize,spring,sowing,-0.46820737958935765
Anhui,1999,maize,summer,growing,-1.245164868145985
Anhui,1999,maize,summer,harvesting,1.442206149768066
Anhui,1999,maize,summer,sowing,-0.3565227747883027
Anhui,1999,rice,single,growing,-0.948114849524952
Anhui,1999,rice,single,harvesting,-0.3227805289257771
Anhui,1999,rice,single,sowing,-0.46820737958935765
Anhui,1999,soybean,single,growing,-1.245164868145985
Anhui,1999,soybean,single,harvesting,1.442206149768066
Anhui,1999,soybean,single,sowing,-0.3565227747883027
Anhui,1999,wheat,winter,growing,-0.2849018125938968
Anhui,1999,wheat,winter,harvesting,-0.6028561030120334
Anhui,1999,wheat,winter,sowing,0.5575660706310882
Anhui,2000,maize,spring,growing,0.12398877446572648
Anhui,2000,maize,spring,harvesting,-0.5094488306155923
Anhui,2000,maize,spring,sowing,-0.46820737958935765
Anhui,2000,maize,summer,growing,-0.4324593910442144
Anhui,2000,maize,summer,harvesting,-0.343473036949393
Anhui,2000,maize,summer,sowing,1.8287990717097693
Anhui,2000,rice,single,growing,-0.24632867886934753
Anhui,2000,rice,single,harvesting,-0.3227805289257771
Anhui,2000,rice,single,sowing,-0.46820737958935765
Anhui,2000,soybean,single,growing,-0.4324593910442144
Anhui,2000,soybean,single,harvesting,-0.343473036949393
Anhui,2000,soybean,single,sowing,1.8287990717097693
Anhui,2000,wheat,winter,growing,-0.22756241810990935
Anhui,2000,wheat,winter,harvesting,-0.8956413981183701
Anhui,2000,wheat,winter,sowing,1.649979466403351
Anhui,2001,maize,spring,growing,0.8827914897807227
Anhui,2001,maize,spring,harvesting,-0.9190930497409351
Anhui,2001,maize,spring,sowing,-0.46820737958935765
Anhui,2001,maize,summer,growing,0.0010614912085014732
Anhui,2001,maize,summer,harvesting,-0.7494533856446979
Anhui,2001,maize,summer,sowing,0.1399543905658894
Anhui,2001,rice,single,growing,-0.10384897731761858
Anhui,2001,rice,single,harvesting,-0.3227805289257771
Anhui,2001,rice,single,sowing,-0.46820737958935765
Anhui,2001,soybean,single,growing,0.0010614912085014732
Anhui,2001,soybean,single,harvesting,-0.7494533856446979
Anhui,2001,soybean,single,sowing,0.1399543905658894
Anhui,2001,wheat,winter,growing,-0.2718750357453723
Anhui,2001,wheat,winter,harvesting,-0.47036043077893674
Anhui,2001,wheat,winter,sowing,-0.2816434645732953
Anhui,2002,maize,spring,growing,0.2940939972097928
Anhui,2002,maize,spring,harvesting,-0.2573255095666774
Anhui,2002,maize,spring,sowing,-0.46820737958935765
