i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,0.010869565217391304
Anhui,1997,maize,spring,harvesting,0.0
Anhui,1997,maize,spring,sowing,0.0
Anhui,1997,maize,summer,growing,0.010869565217391304
Anhui,1997,maize,summer,harvesting,0.0
Anhui,1997,maize,summer,sowing,0.0
Anhui,1997,rice,single,growing,0.006535947712418301
Anhui,1997,rice,single,harvesting,0.0
Anhui,1997,rice,single,sowing,0.0
Anhui,1997,soybean,single,growing,0.010869565217391304
Anhui,1997,soybean,single,harvesting,0.0
Anhui,1997,soybean,single,sowing,0.0
Anhui,1998,maize,spring,growing,0.03260869565217391
Anhui,1998,maize,spring,harvesting,0.0
Anhui,1998,maize,spring,sowing,0.0
Anhui,1998,maize,summer,growing,0.03260869565217391
Anhui,1998,maize,summer,harvesting,0.0
Anhui,1998,maize,summer,sowing,0.0
Anhui,1998,rice,single,growing,0.0196078431372549
Anhui,1998,rice,single,harvesting,0.0
Anhui,1998,rice,single,sowing,0.0
Anhui,1998,soybean,single,growing,0.03260869565217391
Anhui,1998,soybean,single,harvesting,0.0
Anhui,1998,soybean,single,sowing,0.0
Anhui,1998,wheat,winter,growing,0.0047169811320754715
Anhui,1998,wheat,winter,harvesting,0.0
Anhui,1998,wheat,winter,sowing,0.0
Anhui,1999,maize,spring,growing,0.0
Anhui,1999,maize,spring,harvesting,0.0
Anhui,1999,maize,spring,sowing,0.0
Anhui,1999,maize,summer,growing,0.0
Anhui,1999,maize,summer,harvesting,0.01639344262295082
Anhui,1999,maize,summer,sowing,0.0
Anhui,1999,rice,single,growing,0.006535947712418301
Anhui,1999,rice,single,harvesting,0.0
Anhui,1999,rice,single,sowing,0.0
Anhui,1999,soybean,single,growing,0.0
Anhui,1999,soybean,single,harvesting,0.01639344262295082
Anhui,1999,soybean,single,sowing,0.0
Anhui,1999,wheat,winter,growing,0.0
Anhui,1999,wheat,winter,harvesting,0.0
Anhui,1999,wheat,winter,sowing,0.0
Anhui,2000,maize,spring,growing,0.021739130434782608
Anhui,2000,maize,spring,harvesting,0.0
Anhui,2000,maize,spring,sowing,0.0
Anhui,2000,maize,summer,growing,0.021739130434782608
Anhui,2000,maize,summer,harvesting,0.0
Anhui,2000,maize,summer,sowing,0.0
Anhui,2000,rice,single,growing,0.013071895424836602
Anhui,2000,rice,single,harvesting,0.0
Anhui,2000,rice,single,sowing,0.0
Anhui,2000,soybean,single,growing,0.021739130434782608
Anhui,2000,soybean,single,harvesting,0.0
Anhui,2000,soybean,single,sowing,0.0
Anhui,2000,wheat,winter,growing,0.0
