i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,39
Anhui,1997,maize,spring,harvesting,22
Anhui,1997,maize,spring,sowing,0
Anhui,1997,maize,summer,growing,56
Anhui,1997,maize,summer,harvesting,3
Anhui,1997,maize,summer,sowing,5
Anhui,1997,rice,single,growing,64
Anhui,1997,rice,single,harvesting,0
Anhui,1997,rice,single,sowing,0
Anhui,1997,soybean,single,growing,56
Anhui,1997,soybean,single,harvesting,3
Anhui,1997,soybean,single,sowing,5
Anhui,1998,maize,spring,growing,29
Anhui,1998,maize,spring,harvesting,22
Anhui,1998,maize,spring,sowing,2
Anhui,1998,maize,summer,growing,51
Anhui,1998,maize,summer,harvesting,8
Anhui,1998,maize,summer,sowing,0
Anhui,1998,rice,single,growing,57
Anhui,1998,rice,single,harvesting,2
Anhui,1998,rice,single,sowing,2
Anhui,1998,soybean,single,growing,51
Anhui,1998,soybean,single,harvesting,8
Anhui,1998,soybean,single,sowing,0
Anhui,1998,wheat,winter,growing,3
Anhui,1998,wheat,winter,harvesting,7
Anhui,1998,wheat,winter,sowing,3
Anhui,1999,maize,spring,growing,27
Anhui,1999,maize,spring,harvesting,12
Anhui,1999,maize,spring,sowing,0
Anhui,1999,maize,summer,growing,36
Anhui,1999,maize,summer,harvesting,10
Anhui,1999,maize,summer,sowing,3
Anhui,1999,rice,single,growing,49
Anhui,1999,rice,single,harvesting,0
Anhui,1999,rice,single,sowing,0
Anhui,1999,soybean,single,growing,36
Anhui,1999,soybean,single,harvesting,10
Anhui,1999,soybean,single,sowing,3
Anhui,1999,wheat,winter,growing,3
Anhui,1999,wheat,winter,harvesting,8
Anhui,1999,wheat,winter,sowing,8
Anhui,2000,maize,spring,growing,45
Anhui,2000,maize,spring,harvesting,18
Anhui,2000,maize,spring,sowing,0
Anhui,2000,maize,summer,growing,54
Anhui,2000,maize,summer,harvesting,5
Anhui,2000,maize,summer,sowing,9
Anhui,2000,rice,single,growing,68
Anhui,2000,rice,single,harvesting,0
Anhui,2000,rice,single,sowing,0
Anhui,2000,soybean,single,growing,54
Anhui,2000,soybean,single,harvesting,5
Anhui,2000,soybean,single,sowing,9
Anhui,2000,wheat,winter,growing,9
Anhui,2000,wheat,winter,harvesting,7
Anhui,2000,wheat,winter,sowing,10
Anhui,2001,maize,spring,growing,41
Anhui,2001,maize,spring,harvesting,11
Anhui,2001,maize,spring,sowing,0
Anhui,2001,maize,summer,growing,45
Anhui,2001,maize,summer,harvesting,2
Anhui,2001,maize,summer,sowing,7
Anhui,2001,rice,single,growing,54
Anhui,2001,rice,single,harvesting,0
Anhui,2001,rice,single,sowing,0
Anhui,2001,soybean,single,growing,45
Anhui,2001,soybean,single,harvesting,2
Anhui,2001,soybean,single,sowing,7
Anhui,2001,wheat,winter,growing,7
Anhui,2001,wheat,winter,harvesting,8
Anhui,2001,wheat,winter,sowing,5
Anhui,2002,maize,spring,growing,41
Anhui,2002,maize,spring,harvesting,16
Anhui,2002,maize,spring,sowing,0
Anhui,2002,maize,summer,growing,54
Anhui,2002,maize,summer,harvesting,9
Anhui,2002,maize,summer,sowing,3
Anhui,2002,rice,single,growing,64
Anhui,2002,rice,single,harvesting,2
Anhui,2002,rice,single,sowing,0
Anhui,2002,soybean,single,growing,54
