i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,1
Anhui,1997,maize,spring,harvesting,0
Anhui,1997,maize,spring,sowing,0
Anhui,1997,maize,summer,growing,1
Anhui,1997,maize,summer,harvesting,0
Anhui,1997,maize,summer,sowing,0
Anhui,1997,rice,single,growing,1
Anhui,1997,rice,single,harvesting,0
Anhui,1997,rice,single,sowing,0
Anhui,1997,soybean,single,growing,1
Anhui,1997,soybean,single,harvesting,0
Anhui,1997,soybean,single,sowing,0
Anhui,1998,maize,spring,growing,3
Anhui,1998,maize,spring,harvesting,0
Anhui,1998,maize,spring,sowing,0
Anhui,1998,maize,summer,growing,3
Anhui,1998,maize,summer,harvesting,0
Anhui,1998,maize,summer,sowing,0
Anhui,1998,rice,single,growing,3
Anhui,1998,rice,single,harvesting,0
Anhui,1998,rice,single,sowing,0
Anhui,1998,soybean,single,growing,3
Anhui,1998,soybean,single,harvesting,0
Anhui,1998,soybean,single,sowing,0
Anhui,1998,wheat,winter,growing,0
Anhui,1998,wheat,winter,harvesting,0
Anhui,1998,wheat,winter,sowing,0
Anhui,1999,maize,spring,growing,0
Anhui,1999,maize,spring,harvesting,0
Anhui,1999,maize,spring,sowing,0
Anhui,1999,maize,summer,growing,0
Anhui,1999,maize,summer,harvesting,1
Anhui,1999,maize,summer,sowing,0
Anhui,1999,rice,single,growing,1
Anhui,1999,rice,single,harvesting,0
Anhui,1999,rice,single,sowing,0
Anhui,1999,soybean,single,growing,0
Anhui,1999,soybean,single,harvesting,1
Anhui,1999,soybean,single,sowing,0
Anhui,1999,wheat,winter,growing,0
Anhui,1999,wheat,winter,harvesting,0
Anhui,1999,wheat,winter,sowing,0
Anhui,2000,maize,spring,growing,1
Anhui,2000,maize,spring,harvesting,0
Anhui,2000,maize,spring,sowing,0
Anhui,2000,maize,summer,growing,1
Anhui,2000,maize,summer,harvesting,0
Anhui,2000,maize,summer,sowing,0
Anhui,2000,rice,single,growing,1
Anhui,2000,rice,single,harvesting,0
Anhui,2000,rice,single,sowing,0
Anhui,2000,soybean,single,growing,1
Anhui,2000,soybean,single,harvesting,0
Anhui,2000,soybean,single,sowing,0
Anhui,2000,wheat,winter,growing,0
Anhui,2000,wheat,winter,harvesting,0
Anhui,2000,wheat,winter,sowing,1
Anhui,2001,maize,spring,growing,4
Anhui,2001,maize,spring,harvesting,0
Anhui,2001,maize,spring,sowing,0
Anhui,2001,maize,summer,growing,4
Anhui,2001,maize,summer,harvesting,0
Anhui,2001,maize,summer,sowing,0
Anhui,2001,rice,single,growing,4
Anhui,2001,rice,single,harvesting,0
Anhui,2001,rice,single,sowing,0
Anhui,2001,soybean,single,growing,4
Anhui,2001,soybean,single,harvesting,0
Anhui,2001,soybean,single,sowing,0
Anhui,2001,wheat,winter,growing,0
Anhui,2001,wheat,winter,harvesting,0
Anhui,2001,wheat,winter,sowing,0
Anhui,2002,maize,spring,growing,3
Anhui,2002,maize,spring,harvesting,0
Anhui,2002,maize,spring,sowing,0
Anhui,2002,maize,summer,growing,3
Anhui,2002,maize,summer,harvesting,0
Anhui,2002,maize,summer,sowing,0
Anhui,2002,rice,single,growing,3
Anhui,2002,rice,single,harvesting,0
Anhui,2002,rice,single,sowing,0
Anhui,2002,soybean,single,growing,3
Anhui,2002,soybean,single,harvesting,0
Anhui,2002,soybean,single,sowing,0
Anhui,2002,wheat,winter,growing,0
Anhui,2002,wheat,winter,harvesting,0
Anhui,2002,wheat,winter,sowing,0
Anhui,2003,maize,spring,growing,7
Anhui,2003,maize,spring,harvesting,1
Anhui,2003,maize,spring,sowing,0
Anhui,2003,maize,summer,growing,8
Anhui,2003,maize,summer,harvesting,0
Anhui,2003,maize,summer,sowing,0
Anhui,2003,rice,single,growing,8
Anhui,2003,rice,single,harvesting,0
Anhui,2003,rice,single,sowing,0
Anhui,2003,soybean,single,growing,8
Anhui,2003,soybean,single,harvesting,0
Anhui,2003,soybean,single,sowing,0
Anhui,2003,wheat,winter,growing,0
Anhui,2003,wheat,winter,harvesting,0
Anhui,2003,wheat,winter,sowing,0
Anhui,2004,maize,spring,growing,4
Anhui,2004,maize,spring,harvesting,0
Anhui,2004,maize,spring,sowing,0
Anhui,2004,maize,summer,growing,4
Anhui,2004,maize,summer,harvesting,0
Anhui,2004,maize,summer,sowing,0
Anhui,2004,rice,single,growing,4
Anhui,2004,rice,single,harvesting,0
Anhui,2004,rice,single,sowing,0
Anhui,2004,soybean,single,growing,4
Anhui,2004,soybean,single,harvesting,0
Anhui,2004,soybean,single,sowing,0
Anhui,2004,wheat,winter,growing,0
Anhui,2004,wheat,winter,harvesting,0
Anhui,2004,wheat,winter,sowing,0
Anhui,2005,maize,spring,growing,2
Anhui,2005,maize,spring,harvesting,1
Anhui,2005,maize,spring,sowing,0
Anhui,2005,maize,summer,growing,3
Anhui,2005,maize,summer,harvesting,0
Anhui,2005,maize,summer,sowing,0
Anhui,2005,rice,single,growing,3
Anhui,2005,rice,single,harvesting,0
Anhui,2005,rice,single,sowing,0
Anhui,2005,soybean,single,growing,3
Anhui,2005,soybean,single,harvesting,0
Anhui,2005,soybean,single,sowing,0
Anhui,2005,wheat,winter,growing,0
Anhui,2005,wheat,winter,harvesting,2
Anhui,2005,wheat,winter,sowing,0
Anhui,2006,maize,spring,growing,2
Anhui,2006,maize,spring,harvesting,0
Anhui,2006,maize,spring,sowing,0
Anhui,2006,maize,summer,growing,2
Anhui,2006,maize,summer,harvesting,0
Anhui,2006,maize,summer,sowing,0
Anhui,2006,rice,single,growing,2
Anhui,2006,rice,single,harvesting,0
Anhui,2006,rice,single,sowing,0
Anhui,2006,soybean,single,growing,2
Anhui,2006,soybean,single,harvesting,0
Anhui,2006,soybean,single,sowing,0
Anhui,2006,wheat,winter,growing,0
Anhui,2006,wheat,winter,harvesting,2
Anhui,2006,wheat,winter,sowing,0
Anhui,2007,maize,spring,growing,0
Anhui,2007,maize,spring,harvesting,1
Anhui,2007,maize,spring,sowing,0
Anhui,2007,maize,summer,growing,1
Anhui,2007,maize,summer,harvesting,0
Anhui,2007,maize,summer,sowing,0
Anhui,2007,rice,single,growing,1
Anhui,2007,rice,single,harvesting,0
Anhui,2007,rice,single,sowing,0
Anhui,2007,soybean,single,growing,1
