i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,0.20652173913043478
Anhui,1997,maize,spring,harvesting,0.22580645161290322
Anhui,1997,maize,spring,sowing,0.0
Anhui,1997,maize,summer,growing,0.2391304347826087
Anhui,1997,maize,summer,harvesting,0.01639344262295082
Anhui,1997,maize,summer,sowing,0.12903225806451613
Anhui,1997,rice,single,growing,0.17647058823529413
Anhui,1997,rice,single,harvesting,0.0
Anhui,1997,rice,single,sowing,0.0
Anhui,1997,soybean,single,growing,0.2391304347826087
Anhui,1997,soybean,single,harvesting,0.01639344262295082
Anhui,1997,soybean,single,sowing,0.12903225806451613
Anhui,1998,maize,spring,growing,0.14130434782608695
Anhui,1998,maize,spring,harvesting,0.06451612903225806
Anhui,1998,maize,spring,sowing,0.03278688524590164
Anhui,1998,maize,summer,growing,0.16304347826086957
Anhui,1998,maize,summer,harvesting,0.11475409836065574
Anhui,1998,maize,summer,sowing,0.0
Anhui,1998,rice,single,growing,0.13071895424836602
Anhui,1998,rice,single,harvesting,0.06451612903225806
Anhui,1998,rice,single,sowing,0.06666666666666667
Anhui,1998,soybean,single,growing,0.16304347826086957
Anhui,1998,soybean,single,harvesting,0.11475409836065574
Anhui,1998,soybean,single,sowing,0.0
Anhui,1998,wheat,winter,growing,0.009433962264150943
Anhui,1998,wheat,winter,harvesting,0.13333333333333333
Anhui,1998,wheat,winter,sowing,0.01639344262295082
Anhui,1999,maize,spring,growing,0.16304347826086957
Anhui,1999,maize,spring,harvesting,0.16129032258064516
Anhui,1999,maize,spring,sowing,0.0
Anhui,1999,maize,summer,growing,0.18478260869565216
Anhui,1999,maize,summer,harvesting,0.08196721311475409
Anhui,1999,maize,summer,sowing,0.0967741935483871
Anhui,1999,rice,single,growing,0.16339869281045752
Anhui,1999,rice,single,harvesting,0.0
Anhui,1999,rice,single,sowing,0.0
Anhui,1999,soybean,single,growing,0.18478260869565216
Anhui,1999,soybean,single,harvesting,0.08196721311475409
Anhui,1999,soybean,single,sowing,0.0967741935483871
Anhui,1999,wheat,winter,growing,0.014150943396226415
Anhui,1999,wheat,winter,harvesting,0.13333333333333333
Anhui,1999,wheat,winter,sowing,0.11475409836065574
Anhui,2000,maize,spring,growing,0.20652173913043478
Anhui,2000,maize,spring,harvesting,0.16129032258064516
Anhui,2000,maize,spring,sowing,0.0
Anhui,2000,maize,summer,growing,0.18478260869565216
Anhui,2000,maize,summer,harvesting,0.03278688524590164
Anhui,2000,maize,summer,sowing,0.22580645161290322
Anhui,2000,rice,single,growing,0.16993464052287582
Anhui,2000,rice,single,harvesting,0.0
Anhui,2000,rice,single,sowing,0.0
Anhui,2000,soybean,single,growing,0.18478260869565216
Anhui,2000,soybean,single,harvesting,0.03278688524590164
Anhui,2000,soybean,single,sowing,0.22580645161290322
Anhui,2000,wheat,winter,growing,0.0330188679245283
Anhui,2000,wheat,winter,harvesting,0.1
Anhui,2000,wheat,winter,sowing,0.08196721311475409
Anhui,2001,maize,spring,growing,0.14130434782608695
Anhui,2001,maize,spring,harvesting,0.06451612903225806
Anhui,2001,maize,spring,sowing,0.0
Anhui,2001,maize,summer,growing,0.09782608695652174
Anhui,2001,maize,summer,harvesting,0.01639344262295082
Anhui,2001,maize,summer,sowing,0.1935483870967742
Anhui,2001,rice,single,growing,0.10457516339869281
Anhui,2001,rice,single,harvesting,0.0
Anhui,2001,rice,single,sowing,0.0
Anhui,2001,soybean,single,growing,0.09782608695652174
Anhui,2001,soybean,single,harvesting,0.01639344262295082
Anhui,2001,soybean,single,sowing,0.1935483870967742
Anhui,2001,wheat,winter,growing,0.028169014084507043
Anhui,2001,wheat,winter,harvesting,0.03333333333333333
Anhui,2001,wheat,winter,sowing,0.03278688524590164
Anhui,2002,maize,spring,growing,0.29347826086956524
Anhui,2002,maize,spring,harvesting,0.3548387096774194
Anhui,2002,maize,spring,sowing,0.0
Anhui,2002,maize,summer,growing,0.391304347826087
Anhui,2002,maize,summer,harvesting,0.13114754098360656
Anhui,2002,maize,summer,sowing,0.06451612903225806
Anhui,2002,rice,single,growing,0.2875816993464052
Anhui,2002,rice,single,harvesting,0.06451612903225806
Anhui,2002,rice,single,sowing,0.0
Anhui,2002,soybean,single,growing,0.391304347826087
Anhui,2002,soybean,single,harvesting,0.13114754098360656
Anhui,2002,soybean,single,sowing,0.06451612903225806
Anhui,2002,wheat,winter,growing,0.009433962264150943
Anhui,2002,wheat,winter,harvesting,0.4666666666666667
Anhui,2002,wheat,winter,sowing,0.01639344262295082
Anhui,2003,maize,spring,growing,0.18478260869565216
Anhui,2003,maize,spring,harvesting,0.0967741935483871
Anhui,2003,maize,spring,sowing,0.0
Anhui,2003,maize,summer,growing,0.20652173913043478
Anhui,2003,maize,summer,harvesting,0.01639344262295082
