i,c,t,production_10k_tons
Anhui,maize,2000,219.0
Anhui,rice,2000,1221.6
Anhui,soybean,2000,103.6
Anhui,wheat,2000,707.1
Beijing,maize,2000,58.7
Beijing,rice,2000,9.36
Beijing,soybean,2000,5.04
Beijing,wheat,2000,66.86
Chongqing,maize,2000,197.5
Chongqing,rice,2000,532.9
Chongqing,soybean,2000,24.2
Chongqing,wheat,2000,101.3
Fujian,maize,2000,11.1
Fujian,rice,2000,632.8
Fujian,soybean,2000,27.6
Fujian,wheat,2000,11.0
Gansu,maize,2000,210.47
Gansu,rice,2000,6.16
Gansu,soybean,2000,37.69
Gansu,wheat,2000,266.1
Guangdong,maize,2000,76.1
Guangdong,rice,2000,1423.4
Guangdong,soybean,2000,26.1
Guangdong,wheat,2000,3.9
Guangxi,maize,2000,184.2
Guangxi,rice,2000,1226.5
Guangxi,soybean,2000,45.0
Guangxi,wheat,2000,2.7
Guizhou,maize,2000,342.2
Guizhou,rice,2000,477.4
Guizhou,soybean,2000,39.5
Guizhou,wheat,2000,103.5
Hainan,maize,2000,5.22
Hainan,rice,2000,150.21
Hainan,soybean,2000,2.94
Hainan,wheat,2000,
Hebei,maize,2000,994.48
Hebei,rice,2000,65.82
Hebei,soybean,2000,74.45
Hebei,wheat,2000,1207.95
Heilongjiang,maize,2000,790.8
Heilongjiang,rice,2000,1042.2
Heilongjiang,soybean,2000,489.6
Heilongjiang,wheat,2000,95.8
Henan,maize,2000,1074.97
Henan,rice,2000,318.82
Henan,soybean,2000,140.13
Henan,wheat,2000,2235.95
Hubei,maize,2000,216.71
Hubei,rice,2000,1497.22
Hubei,soybean,2000,71.06
Hubei,wheat,2000,233.69
Hunan,maize,2000,125.1
Hunan,rice,2000,2392.5
Hunan,soybean,2000,59.4
Hunan,wheat,2000,23.3
Inner_Mongolia,maize,2000,629.2
Inner_Mongolia,rice,2000,72.2
Inner_Mongolia,soybean,2000,109.7
Inner_Mongolia,wheat,2000,181.8
Jiangsu,maize,2000,236.76
Jiangsu,rice,2000,1801.33
Jiangsu,soybean,2000,105.33
Jiangsu,wheat,2000,796.4
Jiangxi,maize,2000,8.5
Jiangxi,rice,2000,1491.9
Jiangxi,soybean,2000,35.5
Jiangxi,wheat,2000,7.9
Jilin,maize,2000,993.2
Jilin,rice,2000,374.8
Jilin,soybean,2000,140.6
Jilin,wheat,2000,16.3
Liaoning,maize,2000,551.1
Liaoning,rice,2000,377.1
Liaoning,soybean,2000,50.2
Liaoning,wheat,2000,35.8
Ningxia,maize,2000,82.0
Ningxia,rice,2000,62.4
Ningxia,soybean,2000,4.8
Ningxia,wheat,2000,74.5
Qinghai,maize,2000,1.2
Qinghai,rice,2000,0.0
Qinghai,soybean,2000,6.6
Qinghai,wheat,2000,43.9
Shaanxi,maize,2000,413.7
Shaanxi,rice,2000,94.7
Shaanxi,soybean,2000,31.0
Shaanxi,wheat,2000,418.6
Shandong,maize,2000,1467.46
Shandong,rice,2000,110.83
Shandong,soybean,2000,108.24
Shandong,wheat,2000,1860.04
Shanghai,maize,2000,3.7
Shanghai,rice,2000,137.2
Shanghai,soybean,2000,2.7
Shanghai,wheat,2000,24.7
Shanxi,maize,2000,354.75
Shanxi,rice,2000,3.28
Shanxi,soybean,2000,57.78
Shanxi,wheat,2000,215.15
Sichuan,maize,2000,547.4
Sichuan,rice,2000,1634.3
Sichuan,soybean,2000,92.7
Sichuan,wheat,2000,532.1
Tianjin,maize,2000,40.95
Tianjin,rice,2000,14.49
Tianjin,soybean,2000,4.3
Tianjin,wheat,2000,59.49
Tibet,maize,2000,1.41
Tibet,rice,2000,0.55
Tibet,soybean,2000,2.95
Tibet,wheat,2000,30.73
Xinjiang,maize,2000,268.5
Xinjiang,rice,2000,60.4
Xinjiang,soybean,2000,25.7
Xinjiang,wheat,2000,399.5
Yunnan,maize,2000,473.3
Yunnan,rice,2000,568.2
Yunnan,soybean,2000,40.2
Yunnan,wheat,2000,152.4
Zhejiang,maize,2000,20.3
Zhejiang,rice,2000,990.2
Zhejiang,soybean,2000,45.39
Zhejiang,wheat,2000,55.12
Anhui,maize,2001,279.9
Anhui,rice,2001,1174.3
Anhui,soybean,2001,105.73
Anhui,wheat,2001,741.9
Beijing,maize,2001,53.9
Beijing,rice,2001,4.3
Beijing,soybean,2001,5.2
Beijing,wheat,2001,36.6
Chongqing,maize,2001,180.6
Chongqing,rice,2001,472.8
Chongqing,soybean,2001,16.2
Chongqing,wheat,2001,92.0
Fujian,maize,2001,10.8
Fujian,rice,2001,606.8
Fujian,soybean,2001,26.5
Fujian,wheat,2001,8.7
Gansu,maize,2001,198.99
Gansu,rice,2001,6.57
Gansu,soybean,2001,38.31
Gansu,wheat,2001,296.09
Guangdong,maize,2001,65.2
Guangdong,rice,2001,1298.3
Guangdong,soybean,2001,25.12
Guangdong,wheat,2001,3.1
Guangxi,maize,2001,168.5
Guangxi,rice,2001,1231.2
Guangxi,soybean,2001,42.5
Guangxi,wheat,2001,2.2
Guizhou,maize,2001,319.4
Guizhou,rice,2001,459.8
Guizhou,soybean,2001,37.2
Guizhou,wheat,2001,87.7
Hainan,maize,2001,4.92
Hainan,rice,2001,150.82
Hainan,soybean,2001,2.73
Hainan,wheat,2001,
Hebei,maize,2001,1059.46
Hebei,rice,2001,47.23
Hebei,soybean,2001,67.09
Hebei,wheat,2001,1122.69
Heilongjiang,maize,2001,819.5
Heilongjiang,rice,2001,1016.3
Heilongjiang,soybean,2001,537.5
Heilongjiang,wheat,2001,93.8
Henan,maize,2001,1151.4
Henan,rice,2001,202.72
Henan,soybean,2001,122.48
Henan,wheat,2001,2299.71
Hubei,maize,2001,194.89
Hubei,rice,2001,1451.9
Hubei,soybean,2001,73.81
Hubei,wheat,2001,212.95
Hunan,maize,2001,115.1
Hunan,rice,2001,2328.9
Hunan,soybean,2001,61.3
Hunan,wheat,2001,21.4
Inner_Mongolia,maize,2001,757.0
Inner_Mongolia,rice,2001,56.7
Inner_Mongolia,soybean,2001,113.8
Inner_Mongolia,wheat,2001,127.1
Jiangsu,maize,2001,259.89
Jiangsu,rice,2001,1693.19
Jiangsu,soybean,2001,104.46
Jiangsu,wheat,2001,703.9
Jiangxi,maize,2001,6.2
Jiangxi,rice,2001,1491.4
Jiangxi,soybean,2001,32.7
Jiangxi,wheat,2001,5.9
Jilin,maize,2001,1328.4
Jilin,rice,2001,371.2
Jilin,soybean,2001,134.18
Jilin,wheat,2001,11.58
Liaoning,maize,2001,818.68
Liaoning,rice,2001,335.15
Liaoning,soybean,2001,57.37
Liaoning,wheat,2001,15.45
Ningxia,maize,2001,94.8
Ningxia,rice,2001,61.7
Ningxia,soybean,2001,5.9
Ningxia,wheat,2001,83.6
Qinghai,maize,2001,1.2
Qinghai,rice,2001,0.0
Qinghai,soybean,2001,9.3
Qinghai,wheat,2001,51.3
Shaanxi,maize,2001,352.81
Shaanxi,rice,2001,92.05
Shaanxi,soybean,2001,28.74
Shaanxi,wheat,2001,406.63
Shandong,maize,2001,1532.37
Shandong,rice,2001,110.08
Shandong,soybean,2001,94.37
Shandong,wheat,2001,1655.15
Shanghai,maize,2001,3.66
Shanghai,rice,2001,127.38
Shanghai,soybean,2001,2.8
Shanghai,wheat,2001,12.53
Shanxi,maize,2001,309.9
Shanxi,rice,2001,2.3
Shanxi,soybean,2001,34.18
Shanxi,wheat,2001,227.4
Sichuan,maize,2001,452.3
Sichuan,rice,2001,1428.64
Sichuan,soybean,2001,97.13
Sichuan,wheat,2001,448.7
Tianjin,maize,2001,75.19
Tianjin,rice,2001,7.44
Tianjin,soybean,2001,8.48
Tianjin,wheat,2001,45.09
Tibet,maize,2001,1.65
Tibet,rice,2001,0.6
Tibet,soybean,2001,3.18
Tibet,wheat,2001,28.45
Xinjiang,maize,2001,293.76
Xinjiang,rice,2001,56.79
Xinjiang,soybean,2001,28.47
Xinjiang,wheat,2001,370.77
Yunnan,maize,2001,477.3
Yunnan,rice,2001,595.87
Yunnan,soybean,2001,90.66
Yunnan,wheat,2001,137.88
Zhejiang,maize,2001,21.1
Zhejiang,rice,2001,875.6
Zhejiang,soybean,2001,45.42
Zhejiang,wheat,2001,37.07
Anhui,maize,2002,356.8
Anhui,rice,2002,1327.5
Anhui,soybean,2002,147.4
Anhui,wheat,2002,683.7
Beijing,maize,2002,46.1
Beijing,rice,2002,2.9
Beijing,soybean,2002,4.0
Beijing,wheat,2002,24.3
Chongqing,maize,2002,197.4
Chongqing,rice,2002,490.2
Chongqing,soybean,2002,27.8
Chongqing,wheat,2002,93.2
Fujian,maize,2002,11.2
Fujian,rice,2002,557.5
Fujian,soybean,2002,26.4
Fujian,wheat,2002,6.7
Gansu,maize,2002,219.16
Gansu,rice,2002,5.56
Gansu,soybean,2002,38.56
Gansu,wheat,2002,312.14
Guangdong,maize,2002,53.45
Guangdong,rice,2002,1202.76
Guangdong,soybean,2002,24.0
Guangdong,wheat,2002,3.2
Guangxi,maize,2002,161.0
Guangxi,rice,2002,1219.3
Guangxi,soybean,2002,40.3
Guangxi,wheat,2002,1.8
Guizhou,maize,2002,343.2
Guizhou,rice,2002,347.8
Guizhou,soybean,2002,40.8
Guizhou,wheat,2002,87.0
Hainan,maize,2002,5.07
Hainan,rice,2002,139.28
Hainan,soybean,2002,3.24
Hainan,wheat,2002,
Hebei,maize,2002,1034.96
Hebei,rice,2002,55.73
Hebei,soybean,2002,60.56
Hebei,wheat,2002,1099.54
Heilongjiang,maize,2002,1070.5
Heilongjiang,rice,2002,921.0
Heilongjiang,soybean,2002,610.7
Heilongjiang,wheat,2002,89.4
Henan,maize,2002,1189.76
Henan,rice,2002,336.45
Henan,soybean,2002,115.38
Henan,wheat,2002,2248.39
Hubei,maize,2002,187.41
Hubei,rice,2002,1469.79
Hubei,soybean,2002,64.71
Hubei,wheat,2002,151.17
Hunan,maize,2002,119.17
