i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,73.79970869565217
Anhui,1997,maize,spring,harvesting,82.20090322580646
Anhui,1997,maize,spring,sowing,75.59941475409836
Anhui,1997,maize,summer,growing,78.5219
Anhui,1997,maize,summer,harvesting,69.64615737704918
Anhui,1997,maize,summer,sowing,68.18665806451612
Anhui,1997,rice,single,growing,75.2533
Anhui,1997,rice,single,harvesting,66.85360967741934
Anhui,1997,rice,single,sowing,73.15621333333334
Anhui,1997,soybean,single,growing,78.5219
Anhui,1997,soybean,single,harvesting,69.64615737704918
Anhui,1997,soybean,single,sowing,68.18665806451612
Anhui,1998,maize,spring,growing,80.35343478260869
Anhui,1998,maize,spring,harvesting,82.43314838709678
Anhui,1998,maize,spring,sowing,78.967468852459
Anhui,1998,maize,summer,growing,81.17469130434783
Anhui,1998,maize,summer,harvesting,71.02064098360655
Anhui,1998,maize,summer,sowing,79.99587096774194
Anhui,1998,rice,single,growing,79.22989411764706
Anhui,1998,rice,single,harvesting,69.61383548387096
Anhui,1998,rice,single,sowing,77.89450666666667
Anhui,1998,soybean,single,growing,81.17469130434783
Anhui,1998,soybean,single,harvesting,71.02064098360655
Anhui,1998,soybean,single,sowing,79.99587096774194
Anhui,1998,wheat,winter,growing,72.68082735849056
Anhui,1998,wheat,winter,harvesting,78.60295666666666
Anhui,1998,wheat,winter,sowing,69.64615737704918
Anhui,1999,maize,spring,growing,78.89533804347826
Anhui,1999,maize,spring,harvesting,83.62206451612903
Anhui,1999,maize,spring,sowing,78.34095901639344
Anhui,1999,maize,summer,growing,82.06981195652175
Anhui,1999,maize,summer,harvesting,79.47768196721312
Anhui,1999,maize,summer,sowing,74.20104516129032
Anhui,1999,rice,single,growing,79.70162026143791
Anhui,1999,rice,single,harvesting,80.78857419354838
Anhui,1999,rice,single,sowing,75.20592666666667
Anhui,1999,soybean,single,growing,82.06981195652175
Anhui,1999,soybean,single,harvesting,79.47768196721312
Anhui,1999,soybean,single,sowing,74.20104516129032
Anhui,1999,wheat,winter,growing,71.48737122641509
Anhui,1999,wheat,winter,harvesting,80.38427
Anhui,1999,wheat,winter,sowing,71.02064098360655
