i,r,feasible
Anhui,maize,1
Anhui,rice,1
Anhui,soybean,1
Anhui,wheat,1
Beijing,maize,1
Beijing,rice,1
Beijing,soybean,1
Beijing,wheat,1
Chongqing,maize,1
Chongqing,rice,1
Chongqing,soybean,1
Chongqing,wheat,1
Fujian,maize,1
Fujian,rice,1
Fujian,soybean,1
Fujian,wheat,1
Gansu,maize,1
Gansu,rice,1
Gansu,soybean,1
Gansu,wheat,1
Guangdong,maize,1
Guangdong,rice,1
Guangdong,soybean,1
Guangdong,wheat,1
Guangxi,maize,1
Guangxi,rice,1
Guangxi,soybean,1
Guangxi,wheat,1
Guizhou,maize,1
Guizhou,rice,1
Guizhou,soybean,1
Guizhou,wheat,1
Hainan,maize,1
Hainan,rice,1
Hainan,soybean,1
Hainan,wheat,1
Hebei,maize,1
Hebei,rice,1
Hebei,soybean,1
Hebei,wheat,1
Heilongjiang,maize,1
Heilongjiang,rice,1
Heilongjiang,soybean,1
Heilongjiang,wheat,1
Henan,maize,1
Henan,rice,1
Henan,soybean,1
Henan,wheat,1
Hubei,maize,1
Hubei,rice,1
Hubei,soybean,1
Hubei,wheat,1
Hunan,maize,1
Hunan,rice,1
Hunan,soybean,1
Hunan,wheat,1
Inner_Mongolia,maize,1
Inner_Mongolia,rice,1
Inner_Mongolia,soybean,1
Inner_Mongolia,wheat,1
Jiangsu,maize,1
Jiangsu,rice,1
Jiangsu,soybean,1
Jiangsu,wheat,1
Jiangxi,maize,1
Jiangxi,rice,1
Jiangxi,soybean,1
Jiangxi,wheat,1
Jilin,maize,1
Jilin,rice,1
Jilin,soybean,1
Jilin,wheat,1
Liaoning,maize,1
Liaoning,rice,1
Liaoning,soybean,1
Liaoning,wheat,1
Ningxia,maize,1
Ningxia,rice,1
Ningxia,soybean,1
Ningxia,wheat,1
Qinghai,maize,1
Qinghai,rice,1
Qinghai,soybean,1
Qinghai,wheat,1
Shaanxi,maize,1
Shaanxi,rice,1
Shaanxi,soybean,1
Shaanxi,wheat,1
Shandong,maize,1
Shandong,rice,1
Shandong,soybean,1
Shandong,wheat,1
Shanghai,maize,1
Shanghai,rice,1
Shanghai,soybean,1
Shanghai,wheat,1
Shanxi,maize,1
Shanxi,rice,1
Shanxi,soybean,1
Shanxi,wheat,1
Sichuan,maize,1
Sichuan,rice,1
Sichuan,soybean,1
Sichuan,wheat,1
Tianjin,maize,1
Tianjin,rice,1
Tianjin,soybean,1
Tianjin,wheat,1
Tibet,maize,1
Tibet,rice,1
Tibet,soybean,1
Tibet,wheat,1
Xinjiang,maize,1
Xinjiang,rice,1
Xinjiang,soybean,1
Xinjiang,wheat,1
Yunnan,maize,1
Yunnan,rice,1
Yunnan,soybean,1
Yunnan,wheat,1
Zhejiang,maize,1
Zhejiang,rice,1
Zhejiang,soybean,1
Zhejiang,wheat,1
