i,r,t,scenario,drought,heat,compound
Anhui,maize,2000,historical,0.5412425567674365,0.0331998679961564,0.0929758746555183
Anhui,rice,2000,historical,0.0674320198655634,-0.3457721957948274,-0.2910034431020445
Anhui,soybean,2000,historical,-0.1657725425095248,0.3509555479053873,0.28725189202898
Anhui,wheat,2000,historical,-0.3785830610130043,0.1755918833916905,0.4140849433445359
Beijing,maize,2000,historical,0.2490391189305749,0.3142573861853835,0.21936021178144
Beijing,rice,2000,historical,0.1972548115301461,0.193135696242844,0.1869847984776835
Beijing,soybean,2000,historical,0.2584413121289454,0.461806794337918,0.4612308712199762
Beijing,wheat,2000,historical,0.8363542123834153,0.5337207467875819,0.4837525718676972
Chongqing,maize,2000,historical,-0.5099602701479289,-0.9847109686188964,-1.0397664134097562
Chongqing,rice,2000,historical,-1.205316134943636,-0.7015233908879965,-0.7154389916229213
Chongqing,soybean,2000,historical,-0.7984095737077306,-0.4161720863727263,-0.007743558654218
Chongqing,wheat,2000,historical,-0.0579493355315491,0.062070790842076,0.0977451749580777
Fujian,maize,2000,historical,-1.7174039071242009,-0.7878417875575036,-0.3623811818424956
Fujian,rice,2000,historical,-0.8529212759547325,0.2692637545853977,-0.0630614076935634
Fujian,soybean,2000,historical,-0.7985047827530772,-0.5109479874051306,0.1194183343011868
Fujian,wheat,2000,historical,0.5097649789059874,0.8082393980000419,0.7677849869361442
Gansu,maize,2000,historical,0.880995134182405,0.2506373858583645,0.1050064575376731
Gansu,rice,2000,historical,-0.5487991771211651,0.3342868974428355,0.217229905573262
Gansu,soybean,2000,historical,-0.0565271728696087,0.1976289916594324,0.0868485726395165
Gansu,wheat,2000,historical,-0.2169103926210183,-0.2803289314104343,-0.3805982245125734
Guangdong,maize,2000,historical,0.0962059748706557,-0.1114390458393556,0.0423542515186455
Guangdong,rice,2000,historical,0.0524841968482695,0.3170161371676955,0.1511899959122421
Guangdong,soybean,2000,historical,0.7094703691368939,0.0349160442958013,0.2465314044804882
Guangxi,maize,2000,historical,0.4731862118897392,-0.0211243175205618,0.4742302519116852
Guangxi,rice,2000,historical,-0.0209736750254862,0.0186676956075124,0.1919935037078096
Guangxi,soybean,2000,historical,-0.263384972528,-0.0638249943181333,0.5310493059452888
Guizhou,maize,2000,historical,-1.27142560765901,-0.7365558533805895,-0.7654042241176674
Guizhou,rice,2000,historical,-1.2813587507939284,-0.6002083795816393,-0.6392863695002828
Guizhou,soybean,2000,historical,-0.7268344292072332,-0.5537146114301432,-0.4789090775166416
Guizhou,wheat,2000,historical,-0.8616980631866432,-0.34105138979439,-0.0329033780335727
Hainan,maize,2000,historical,-0.4399562556091647,0.1589557657839931,-1.0887709149658311
Hainan,rice,2000,historical,-0.8803067744620918,-0.0069626488010677,-0.513984255535441
Hainan,soybean,2000,historical,-1.6705474874448487,-0.10183776674016,-0.6149186496750966
Hebei,maize,2000,historical,0.3980224748674488,0.4571982943449912,0.3503631738074377
Hebei,rice,2000,historical,-0.5206998772649829,0.0246493337070842,0.1136926575145598
Hebei,soybean,2000,historical,0.2312766838777239,0.4982156959297721,0.5450366753669842
Hebei,wheat,2000,historical,1.1389104957922658,0.288358269380244,0.896268070444342
Heilongjiang,maize,2000,historical,1.0895539373070873,0.8526388801225911,1.0534968954452368
Heilongjiang,rice,2000,historical,-0.594481436975553,0.6795872026267803,0.7779991818425013
