i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,220.0854304347826
Anhui,1997,maize,spring,harvesting,209.27269677419355
Anhui,1997,maize,spring,sowing,160.9823213114754
Anhui,1997,maize,summer,growing,212.33419021739132
Anhui,1997,maize,summer,harvesting,167.82869508196723
Anhui,1997,maize,summer,sowing,232.27637741935482
Anhui,1997,rice,single,growing,210.26373071895424
Anhui,1997,rice,single,harvesting,154.91976774193546
Anhui,1997,rice,single,sowing,182.41877333333332
Anhui,1997,soybean,single,growing,212.33419021739132
Anhui,1997,soybean,single,harvesting,167.82869508196723
Anhui,1997,soybean,single,sowing,232.27637741935482
Anhui,1998,maize,spring,growing,200.53152173913045
Anhui,1998,maize,spring,harvesting,196.46899354838712
Anhui,1998,maize,spring,sowing,153.0869819672131
Anhui,1998,maize,summer,growing,205.96347934782608
Anhui,1998,maize,summer,harvesting,165.02923770491802
Anhui,1998,maize,summer,sowing,180.34834516129033
Anhui,1998,rice,single,growing,196.51505555555553
Anhui,1998,rice,single,harvesting,146.43286451612906
Anhui,1998,rice,single,sowing,180.04004666666665
Anhui,1998,soybean,single,growing,205.96347934782608
Anhui,1998,soybean,single,harvesting,165.02923770491802
Anhui,1998,soybean,single,sowing,180.34834516129033
Anhui,1998,wheat,winter,growing,119.77077783018869
Anhui,1998,wheat,winter,harvesting,200.57280333333335
Anhui,1998,wheat,winter,sowing,167.82869508196723
Anhui,1999,maize,spring,growing,191.48782282608698
Anhui,1999,maize,spring,harvesting,182.89508387096774
Anhui,1999,maize,spring,sowing,144.89761967213116
Anhui,1999,maize,summer,growing,182.76475326086955
Anhui,1999,maize,summer,harvesting,138.25629999999998
Anhui,1999,maize,summer,sowing,208.78290322580648
Anhui,1999,rice,single,growing,186.89386470588235
Anhui,1999,rice,single,harvesting,100.82259032258065
Anhui,1999,rice,single,sowing,177.65449666666666
Anhui,1999,soybean,single,growing,182.76475326086955
Anhui,1999,soybean,single,harvesting,138.25629999999998
Anhui,1999,soybean,single,sowing,208.78290322580648
Anhui,1999,wheat,winter,growing,134.58456745283019
Anhui,1999,wheat,winter,harvesting,172.37801333333334
Anhui,1999,wheat,winter,sowing,165.02923770491802
Anhui,2000,maize,spring,growing,222.9985054347826
Anhui,2000,maize,spring,harvesting,196.74341612903225
Anhui,2000,maize,spring,sowing,179.41639180327869
Anhui,2000,maize,summer,growing,216.21281739130436
Anhui,2000,maize,summer,harvesting,124.8492213114754
Anhui,2000,maize,summer,sowing,216.8815870967742
Anhui,2000,rice,single,growing,205.11643529411765
Anhui,2000,rice,single,harvesting,91.86762258064516
Anhui,2000,rice,single,sowing,202.84850666666668
Anhui,2000,soybean,single,growing,216.21281739130436
Anhui,2000,soybean,single,harvesting,124.8492213114754
Anhui,2000,soybean,single,sowing,216.8815870967742
Anhui,2000,wheat,winter,growing,142.4832641509434
Anhui,2000,wheat,winter,harvesting,209.68343666666667
Anhui,2000,wheat,winter,sowing,138.25629999999998
Anhui,2001,maize,spring,growing,219.95142282608697
Anhui,2001,maize,spring,harvesting,195.3512741935484
