i,clay,sand,soc,total_n,bulk_density,ph,cec,awc
Anhui,24.389,28.175,1.0542,,1.2966,5.069,12.001,149.5
Beijing,14.954,46.303,0.8782,,1.3115,5.335,13.2712,137.1
Chongqing,24.039,31.081,1.4945,,1.2758,4.549,14.4443,150.0
Fujian,29.186,25.764,1.151,,1.2012,4.024,7.6666,148.4
Gansu,14.46,40.5,0.9229,,1.3113,6.092,9.8707,140.3
Guangdong,26.999,30.683,1.1104,,1.2063,4.087,7.5558,144.2
Guangxi,29.489,27.233,1.3217,,1.2613,4.093,10.2668,149.1
Guizhou,31.874,23.098,1.7876,,1.2456,4.227,14.7977,144.5
Hainan,23.698,34.378,1.1158,,1.1999,3.94,7.0817,93.0
Hebei,15.547,43.414,0.8421,,1.3061,5.542,12.7596,126.5
Heilongjiang,20.803,34.714,2.9068,,1.2154,5.151,24.0069,149.9
Henan,20.835,35.504,0.7884,,1.35,5.593,13.5038,150.0
Hubei,21.636,34.12,1.3606,,1.309,4.932,12.5719,149.1
Hunan,27.413,28.747,1.4468,,1.2806,4.417,10.1232,146.3
Inner_Mongolia,14.851,48.112,1.2248,,1.3101,5.916,12.7068,145.2
Jiangsu,21.348,26.573,0.911,,1.2287,5.178,11.8209,150.0
Jiangxi,30.645,26.492,1.2895,,1.2852,4.355,8.4892,146.2
Jilin,19.463,36.202,2.0155,,1.2503,5.5,19.958,149.9
Liaoning,16.872,39.834,1.2895,,1.2911,5.367,15.7912,148.0
Ningxia,13.244,47.314,0.5527,,1.3106,6.18,8.3879,150.0
Qinghai,14.742,46.125,1.898,,1.3083,5.391,12.7814,142.4
Shaanxi,15.929,42.098,0.8686,,1.3106,5.658,11.267,150.0
Shandong,15.778,40.003,0.7666,,1.2918,5.426,12.3871,150.0
Shanghai,14.874,22.674,0.7664,,0.9426,4.062,8.2507,150.0
Shanxi,15.271,41.24,0.7726,,1.2876,5.405,11.5477,149.9
Sichuan,18.672,36.921,2.2797,,1.3011,4.774,15.6424,147.6
Tianjin,18.223,32.459,0.6327,,1.2618,5.898,12.7281,150.0
Tibet,14.779,46.963,1.6977,,1.2994,4.984,11.7634,147.2
Xinjiang,12.464,50.918,0.7003,,1.3532,5.72,7.6671,141.1
Yunnan,28.502,29.618,1.6704,,1.2683,4.454,13.1581,96.2
Zhejiang,26.91,26.556,1.2809,,1.1347,4.17,9.5041,146.6
