i,c,system,stage,value
Anhui,maize,spring,sowing,120
Anhui,maize,spring,growing,212
Anhui,maize,spring,harvesting,243
Anhui,maize,summer,sowing,151
Anhui,maize,summer,growing,243
Anhui,maize,summer,harvesting,304
Anhui,rice,single,sowing,120
Anhui,rice,single,growing,273
Anhui,rice,single,harvesting,304
Anhui,soybean,single,sowing,151
Anhui,soybean,single,growing,243
Anhui,soybean,single,harvesting,304
Anhui,wheat,winter,sowing,304
Anhui,wheat,winter,growing,151
Anhui,wheat,winter,harvesting,181
Beijing,maize,spring,sowing,120
Beijing,maize,spring,growing,212
Beijing,maize,spring,harvesting,243
Beijing,maize,summer,sowing,151
Beijing,maize,summer,growing,243
Beijing,maize,summer,harvesting,304
Beijing,rice,single,sowing,120
Beijing,rice,single,growing,273
Beijing,rice,single,harvesting,304
Beijing,soybean,single,sowing,151
Beijing,soybean,single,growing,243
Beijing,soybean,single,harvesting,304
Beijing,wheat,winter,sowing,304
Beijing,wheat,winter,growing,151
Beijing,wheat,winter,harvesting,181
Chongqing,maize,spring,sowing,120
Chongqing,maize,spring,growing,212
Chongqing,maize,spring,harvesting,243
Chongqing,rice,single,sowing,120
Chongqing,rice,single,growing,273
Chongqing,rice,single,harvesting,304
Chongqing,soybean,single,sowing,151
Chongqing,soybean,single,growing,243
Chongqing,soybean,single,harvesting,304
Chongqing,wheat,winter,sowing,304
Chongqing,wheat,winter,growing,151
Chongqing,wheat,winter,harvesting,181
Fujian,maize,spring,sowing,120
Fujian,maize,spring,growing,212
Fujian,maize,spring,harvesting,243
Fujian,rice,single,sowing,120
Fujian,rice,single,growing,273
Fujian,rice,single,harvesting,304
Fujian,rice,early_double,sowing,120
Fujian,rice,early_double,growing,151
Fujian,rice,early_double,harvesting,181
Fujian,rice,late_double,sowing,181
Fujian,rice,late_double,growing,273
Fujian,rice,late_double,harvesting,334
Fujian,soybean,single,sowing,151
Fujian,soybean,single,growing,243
Fujian,soybean,single,harvesting,304
Fujian,wheat,winter,sowing,304
Fujian,wheat,winter,growing,151
Fujian,wheat,winter,harvesting,181
Gansu,maize,spring,sowing,120
Gansu,maize,spring,growing,212
Gansu,maize,spring,harvesting,243
Gansu,rice,single,sowing,120
Gansu,rice,single,growing,273
Gansu,rice,single,harvesting,304
Gansu,soybean,single,sowing,151
Gansu,soybean,single,growing,243
Gansu,soybean,single,harvesting,304
Gansu,wheat,winter,sowing,304
Gansu,wheat,winter,growing,151
Gansu,wheat,winter,harvesting,181
Guangdong,maize,spring,sowing,120
Guangdong,maize,spring,growing,212
Guangdong,maize,spring,harvesting,243
Guangdong,rice,single,sowing,120
Guangdong,rice,single,growing,273
Guangdong,rice,single,harvesting,304
Guangdong,rice,early_double,sowing,120
Guangdong,rice,early_double,growing,151
Guangdong,rice,early_double,harvesting,181
Guangdong,rice,late_double,sowing,181
Guangdong,rice,late_double,growing,273
Guangdong,rice,late_double,harvesting,334
Guangdong,soybean,single,sowing,151
Guangdong,soybean,single,growing,243
Guangdong,soybean,single,harvesting,304
Guangxi,maize,spring,sowing,120
Guangxi,maize,spring,growing,212
Guangxi,maize,spring,harvesting,243
Guangxi,rice,single,sowing,120
Guangxi,rice,single,growing,273
Guangxi,rice,single,harvesting,304
Guangxi,rice,early_double,sowing,120
Guangxi,rice,early_double,growing,151
Guangxi,rice,early_double,harvesting,181
Guangxi,rice,late_double,sowing,181
Guangxi,rice,late_double,growing,273
Guangxi,rice,late_double,harvesting,334
Guangxi,soybean,single,sowing,151
Guangxi,soybean,single,growing,243
Guangxi,soybean,single,harvesting,304
Guizhou,maize,spring,sowing,120
Guizhou,maize,spring,growing,212
Guizhou,maize,spring,harvesting,243
Guizhou,rice,single,sowing,120
Guizhou,rice,single,growing,273
Guizhou,rice,single,harvesting,304
Guizhou,soybean,single,sowing,151
Guizhou,soybean,single,growing,243
Guizhou,soybean,single,harvesting,304
Guizhou,wheat,winter,sowing,304
Guizhou,wheat,winter,growing,151
Guizhou,wheat,winter,harvesting,181
Hainan,maize,spring,sowing,120
Hainan,maize,spring,growing,212
Hainan,maize,spring,harvesting,243
Hainan,rice,single,sowing,120
Hainan,rice,single,growing,273
Hainan,rice,single,harvesting,304
Hainan,rice,early_double,sowing,120
Hainan,rice,early_double,growing,151
Hainan,rice,early_double,harvesting,181
Hainan,rice,late_double,sowing,181
Hainan,rice,late_double,growing,273
Hainan,rice,late_double,harvesting,334
Hainan,soybean,single,sowing,151
Hainan,soybean,single,growing,243
Hainan,soybean,single,harvesting,304
Hebei,maize,spring,sowing,120
Hebei,maize,spring,growing,212
Hebei,maize,spring,harvesting,243
Hebei,maize,summer,sowing,151
Hebei,maize,summer,growing,243
Hebei,maize,summer,harvesting,304
Hebei,rice,single,sowing,120
Hebei,rice,single,growing,273
Hebei,rice,single,harvesting,304
Hebei,soybean,single,sowing,151
Hebei,soybean,single,growing,243
Hebei,soybean,single,harvesting,304
Hebei,wheat,winter,sowing,304
Hebei,wheat,winter,growing,151
Hebei,wheat,winter,harvesting,181
Heilongjiang,maize,spring,sowing,120
Heilongjiang,maize,spring,growing,212
Heilongjiang,maize,spring,harvesting,243
Heilongjiang,rice,single,sowing,120
Heilongjiang,rice,single,growing,273
Heilongjiang,rice,single,harvesting,304
Heilongjiang,soybean,single,sowing,151
Heilongjiang,soybean,single,growing,243
Heilongjiang,soybean,single,harvesting,304
Heilongjiang,wheat,spring,sowing,120
Heilongjiang,wheat,spring,growing,212
Heilongjiang,wheat,spring,harvesting,243
Henan,maize,spring,sowing,120
Henan,maize,spring,growing,212
Henan,maize,spring,harvesting,243
Henan,maize,summer,sowing,151
Henan,maize,summer,growing,243
Henan,maize,summer,harvesting,304
Henan,rice,single,sowing,120
Henan,rice,single,growing,273
Henan,rice,single,harvesting,304
Henan,soybean,single,sowing,151
Henan,soybean,single,growing,243
Henan,soybean,single,harvesting,304
Henan,wheat,winter,sowing,304
Henan,wheat,winter,growing,151
Henan,wheat,winter,harvesting,181
Hubei,maize,spring,sowing,120
Hubei,maize,spring,growing,212
Hubei,maize,spring,harvesting,243
Hubei,maize,summer,sowing,151
Hubei,maize,summer,growing,243
Hubei,maize,summer,harvesting,304
Hubei,rice,single,sowing,120
Hubei,rice,single,growing,273
Hubei,rice,single,harvesting,304
Hubei,soybean,single,sowing,151
Hubei,soybean,single,growing,243
