i,c,system,stage,value
Anhui,maize,spring,sowing,60
Anhui,maize,spring,growing,121
Anhui,maize,spring,harvesting,213
Anhui,maize,summer,sowing,121
Anhui,maize,summer,growing,152
Anhui,maize,summer,harvesting,244
Anhui,rice,single,sowing,91
Anhui,rice,single,growing,121
Anhui,rice,single,harvesting,274
Anhui,soybean,single,sowing,121
Anhui,soybean,single,growing,152
Anhui,soybean,single,harvesting,244
Anhui,wheat,winter,sowing,244
Anhui,wheat,winter,growing,305
Anhui,wheat,winter,harvesting,152
Beijing,maize,spring,sowing,60
Beijing,maize,spring,growing,121
Beijing,maize,spring,harvesting,213
Beijing,maize,summer,sowing,121
Beijing,maize,summer,growing,152
Beijing,maize,summer,harvesting,244
Beijing,rice,single,sowing,91
Beijing,rice,single,growing,121
Beijing,rice,single,harvesting,274
Beijing,soybean,single,sowing,121
Beijing,soybean,single,growing,152
Beijing,soybean,single,harvesting,244
Beijing,wheat,winter,sowing,244
Beijing,wheat,winter,growing,305
Beijing,wheat,winter,harvesting,152
Chongqing,maize,spring,sowing,60
Chongqing,maize,spring,growing,121
Chongqing,maize,spring,harvesting,213
Chongqing,rice,single,sowing,91
Chongqing,rice,single,growing,121
Chongqing,rice,single,harvesting,274
Chongqing,soybean,single,sowing,121
Chongqing,soybean,single,growing,152
Chongqing,soybean,single,harvesting,244
Chongqing,wheat,winter,sowing,244
Chongqing,wheat,winter,growing,305
Chongqing,wheat,winter,harvesting,152
Fujian,maize,spring,sowing,60
Fujian,maize,spring,growing,121
Fujian,maize,spring,harvesting,213
Fujian,rice,single,sowing,91
Fujian,rice,single,growing,121
Fujian,rice,single,harvesting,274
Fujian,rice,early_double,sowing,60
Fujian,rice,early_double,growing,121
Fujian,rice,early_double,harvesting,152
Fujian,rice,late_double,sowing,152
Fujian,rice,late_double,growing,182
Fujian,rice,late_double,harvesting,274
Fujian,soybean,single,sowing,121
Fujian,soybean,single,growing,152
Fujian,soybean,single,harvesting,244
Fujian,wheat,winter,sowing,244
Fujian,wheat,winter,growing,305
Fujian,wheat,winter,harvesting,152
Gansu,maize,spring,sowing,60
Gansu,maize,spring,growing,121
Gansu,maize,spring,harvesting,213
Gansu,rice,single,sowing,91
Gansu,rice,single,growing,121
Gansu,rice,single,harvesting,274
Gansu,soybean,single,sowing,121
Gansu,soybean,single,growing,152
Gansu,soybean,single,harvesting,244
Gansu,wheat,winter,sowing,244
Gansu,wheat,winter,growing,305
Gansu,wheat,winter,harvesting,152
Guangdong,maize,spring,sowing,60
Guangdong,maize,spring,growing,121
Guangdong,maize,spring,harvesting,213
Guangdong,rice,single,sowing,91
Guangdong,rice,single,growing,121
Guangdong,rice,single,harvesting,274
Guangdong,rice,early_double,sowing,60
Guangdong,rice,early_double,growing,121
Guangdong,rice,early_double,harvesting,152
Guangdong,rice,late_double,sowing,152
Guangdong,rice,late_double,growing,182
Guangdong,rice,late_double,harvesting,274
Guangdong,soybean,single,sowing,121
Guangdong,soybean,single,growing,152
Guangdong,soybean,single,harvesting,244
