i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,29.019488971847824
Anhui,1997,maize,spring,harvesting,30.78253186064516
Anhui,1997,maize,spring,sowing,16.901053338213114
Anhui,1997,maize,summer,growing,30.236118125978262
Anhui,1997,maize,summer,harvesting,24.298509916885244
Anhui,1997,maize,summer,sowing,27.1718905
Anhui,1997,rice,single,growing,28.633642525620917
Anhui,1997,rice,single,harvesting,23.397202309677418
Anhui,1997,rice,single,sowing,19.71579826
Anhui,1997,soybean,single,growing,30.236118125978262
Anhui,1997,soybean,single,harvesting,24.298509916885244
Anhui,1997,soybean,single,sowing,27.1718905
Anhui,1998,maize,spring,growing,27.656627414891304
Anhui,1998,maize,spring,harvesting,30.713672341612902
Anhui,1998,maize,spring,sowing,17.154902852819674
Anhui,1998,maize,summer,growing,30.07207377195652
Anhui,1998,maize,summer,harvesting,25.279143898032785
Anhui,1998,maize,summer,sowing,23.54525089483871
Anhui,1998,rice,single,growing,28.29420085888889
Anhui,1998,rice,single,harvesting,22.888664875161293
Anhui,1998,rice,single,sowing,21.937731480266667
Anhui,1998,soybean,single,growing,30.07207377195652
Anhui,1998,soybean,single,harvesting,25.279143898032785
Anhui,1998,soybean,single,sowing,23.54525089483871
Anhui,1998,wheat,winter,growing,16.431851269037736
Anhui,1998,wheat,winter,harvesting,27.770138889333335
Anhui,1998,wheat,winter,sowing,24.298509916885244
Anhui,1999,maize,spring,growing,27.16906535173913
Anhui,1999,maize,spring,harvesting,28.823327359677418
Anhui,1999,maize,spring,sowing,15.760853066196722
Anhui,1999,maize,summer,growing,28.42603495717391
Anhui,1999,maize,summer,harvesting,24.021577110000003
Anhui,1999,maize,summer,sowing,25.09296595
Anhui,1999,rice,single,growing,27.684191680915035
Anhui,1999,rice,single,harvesting,20.087485065806455
Anhui,1999,rice,single,sowing,19.828240741
Anhui,1999,soybean,single,growing,28.42603495717391
Anhui,1999,soybean,single,harvesting,24.021577110000003
Anhui,1999,soybean,single,sowing,25.09296595
Anhui,1999,wheat,winter,growing,15.165414628448113
Anhui,1999,wheat,winter,harvesting,27.026466049333333
Anhui,1999,wheat,winter,sowing,25.279143898032785
Anhui,2000,maize,spring,growing,29.2036533825
Anhui,2000,maize,spring,harvesting,30.272177419032257
Anhui,2000,maize,spring,sowing,18.25500910744262
Anhui,2000,maize,summer,growing,30.261699879673916
Anhui,2000,maize,summer,harvesting,22.88854735852459
Anhui,2000,maize,summer,sowing,27.13216845967742
Anhui,2000,rice,single,growing,28.85375817026144
Anhui,2000,rice,single,harvesting,19.572580645161292
Anhui,2000,rice,single,sowing,21.50324074066667
Anhui,2000,soybean,single,growing,30.261699879673916
Anhui,2000,soybean,single,harvesting,22.88854735852459
Anhui,2000,soybean,single,sowing,27.13216845967742
Anhui,2000,wheat,winter,growing,14.320091044367926
Anhui,2000,wheat,winter,harvesting,28.312962964
Anhui,2000,wheat,winter,sowing,24.021577110000003
Anhui,2001,maize,spring,growing,29.22743055597826
Anhui,2001,maize,spring,harvesting,29.02396953483871
Anhui,2001,maize,spring,sowing,17.372836976229507
Anhui,2001,maize,summer,growing,29.95063405847826
Anhui,2001,maize,summer,harvesting,24.11361566508197
Anhui,2001,maize,summer,sowing,26.877688172580644
Anhui,2001,rice,single,growing,28.735521060653596
Anhui,2001,rice,single,harvesting,21.38911290387097
Anhui,2001,rice,single,sowing,19.188425925666664
Anhui,2001,soybean,single,growing,29.95063405847826
Anhui,2001,soybean,single,harvesting,24.11361566508197
Anhui,2001,soybean,single,sowing,26.877688172580644
Anhui,2001,wheat,winter,growing,14.051545383511737
Anhui,2001,wheat,winter,harvesting,27.844907407999997
Anhui,2001,wheat,winter,sowing,22.88854735852459
