i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,24.597183489891307
Anhui,1997,maize,spring,harvesting,26.664824771290323
Anhui,1997,maize,spring,sowing,12.875579796
Anhui,1997,maize,summer,growing,26.072909194782607
Anhui,1997,maize,summer,harvesting,18.960281319032784
Anhui,1997,maize,summer,sowing,22.285251711612904
Anhui,1997,rice,single,growing,24.211885650392155
Anhui,1997,rice,single,harvesting,17.474487255838707
Anhui,1997,rice,single,sowing,15.376763468166667
Anhui,1997,soybean,single,growing,26.072909194782607
Anhui,1997,soybean,single,harvesting,18.960281319032784
Anhui,1997,soybean,single,sowing,22.285251711612904
Anhui,1998,maize,spring,growing,23.947170223152174
Anhui,1998,maize,spring,harvesting,26.904432994516128
Anhui,1998,maize,spring,sowing,13.187613843442623
Anhui,1998,maize,summer,growing,26.352535393260872
Anhui,1998,maize,summer,harvesting,20.457308743442624
Anhui,1998,maize,summer,sowing,19.76592990903226
Anhui,1998,rice,single,growing,24.376248184640524
Anhui,1998,rice,single,harvesting,17.919578853548387
Anhui,1998,rice,single,sowing,17.719907407333334
Anhui,1998,soybean,single,growing,26.352535393260872
Anhui,1998,soybean,single,harvesting,20.457308743442624
Anhui,1998,soybean,single,sowing,19.76592990903226
Anhui,1998,wheat,winter,growing,9.766877038245283
Anhui,1998,wheat,winter,harvesting,23.974999999666668
Anhui,1998,wheat,winter,sowing,18.960281319032784
Anhui,1999,maize,spring,growing,23.326338566521738
Anhui,1999,maize,spring,harvesting,25.088709677741935
Anhui,1999,maize,spring,sowing,11.892911353557377
Anhui,1999,maize,summer,growing,24.800221417173915
Anhui,1999,maize,summer,harvesting,19.858945557672133
Anhui,1999,maize,summer,sowing,20.714605733870968
Anhui,1999,rice,single,growing,23.756079036601307
Anhui,1999,rice,single,harvesting,16.14479788864516
Anhui,1999,rice,single,sowing,15.512037036799999
Anhui,1999,soybean,single,growing,24.800221417173915
Anhui,1999,soybean,single,harvesting,19.858945557672133
Anhui,1999,soybean,single,sowing,20.714605733870968
Anhui,1999,wheat,winter,growing,10.586223211962265
Anhui,1999,wheat,winter,harvesting,23.48791152333333
Anhui,1999,wheat,winter,sowing,20.457308743442624
Anhui,2000,maize,spring,growing,24.687198067717393
Anhui,2000,maize,spring,harvesting,26.408826165806452
Anhui,2000,maize,spring,sowing,13.334699453786886
Anhui,2000,maize,summer,growing,26.232336956847828
Anhui,2000,maize,summer,harvesting,19.25876593767213
Anhui,2000,maize,summer,sowing,21.823252688387097
Anhui,2000,rice,single,growing,24.5394880175817
Anhui,2000,rice,single,harvesting,16.456093189612904
Anhui,2000,rice,single,sowing,16.3659722224
Anhui,2000,soybean,single,growing,26.232336956847828
Anhui,2000,soybean,single,harvesting,19.25876593767213
Anhui,2000,soybean,single,sowing,21.823252688387097
Anhui,2000,wheat,winter,growing,9.726707788117924
Anhui,2000,wheat,winter,harvesting,24.337731481333332
Anhui,2000,wheat,winter,sowing,19.858945557672133
Anhui,2001,maize,spring,growing,24.844504831086955
Anhui,2001,maize,spring,harvesting,25.122759856774195
Anhui,2001,maize,spring,sowing,12.563524590442624
Anhui,2001,maize,summer,growing,25.912590579891305
Anhui,2001,maize,summer,harvesting,19.668715847213115
Anhui,2001,maize,summer,sowing,21.95295698935484
Anhui,2001,rice,single,growing,24.398148148366012
Anhui,2001,rice,single,harvesting,17.141129032258064
Anhui,2001,rice,single,sowing,14.720833333566667
Anhui,2001,soybean,single,growing,25.912590579891305
Anhui,2001,soybean,single,harvesting,19.668715847213115
Anhui,2001,soybean,single,sowing,21.95295698935484
Anhui,2001,wheat,winter,growing,9.921296296305163
Anhui,2001,wheat,winter,harvesting,24.067592592333334
Anhui,2001,wheat,winter,sowing,19.25876593767213
Anhui,2002,maize,spring,growing,23.950030193152173
Anhui,2002,maize,spring,harvesting,25.695116488064517
Anhui,2002,maize,spring,sowing,13.662909835885246
Anhui,2002,maize,summer,growing,26.278155193369567
Anhui,2002,maize,summer,harvesting,19.331967212557377
Anhui,2002,maize,summer,sowing,18.785842293870967
Anhui,2002,rice,single,growing,23.94049564267974
Anhui,2002,rice,single,harvesting,16.65501792051613
Anhui,2002,rice,single,sowing,15.696759259533334
Anhui,2002,soybean,single,growing,26.278155193369567
Anhui,2002,soybean,single,harvesting,19.331967212557377
Anhui,2002,soybean,single,sowing,18.785842293870967
Anhui,2002,wheat,winter,growing,10.226218553330188
Anhui,2002,wheat,winter,harvesting,25.835416666
Anhui,2002,wheat,winter,sowing,19.668715847213115
Anhui,2003,maize,spring,growing,23.89009661847826
Anhui,2003,maize,spring,harvesting,26.060707886451613
Anhui,2003,maize,spring,sowing,11.809995446344262
Anhui,2003,maize,summer,growing,25.91832729532609
Anhui,2003,maize,summer,harvesting,19.19137067442623
Anhui,2003,maize,summer,sowing,20.041442651935487
Anhui,2003,rice,single,growing,24.13149055954248
Anhui,2003,rice,single,harvesting,15.623431900322581
Anhui,2003,rice,single,sowing,14.731481481966666
Anhui,2003,soybean,single,growing,25.91832729532609
Anhui,2003,soybean,single,harvesting,19.19137067442623
Anhui,2003,soybean,single,sowing,20.041442651935487
Anhui,2003,wheat,winter,growing,9.242732666962263
Anhui,2003,wheat,winter,harvesting,24.547916666333332
Anhui,2003,wheat,winter,sowing,19.331967212557377
Anhui,2004,maize,spring,growing,23.905797100978262
Anhui,2004,maize,spring,harvesting,25.868279570000002
Anhui,2004,maize,spring,sowing,13.135815118327868
Anhui,2004,maize,summer,growing,25.761624395978263
Anhui,2004,maize,summer,harvesting,19.139458105409837
Anhui,2004,maize,summer,sowing,20.360663081612902
Anhui,2004,rice,single,growing,23.91535039901961
Anhui,2004,rice,single,harvesting,16.44220430129032
Anhui,2004,rice,single,sowing,16.8270833334
Anhui,2004,soybean,single,growing,25.761624395978263
Anhui,2004,soybean,single,harvesting,19.139458105409837
Anhui,2004,soybean,single,sowing,20.360663081612902
Anhui,2004,wheat,winter,growing,10.051067872042452
Anhui,2004,wheat,winter,harvesting,23.669907407
