i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,19.69518021402174
Anhui,1997,maize,spring,harvesting,22.996963361612902
Anhui,1997,maize,spring,sowing,8.09758353090164
Anhui,1997,maize,summer,growing,21.95664220728261
Anhui,1997,maize,summer,harvesting,13.841947480245901
Anhui,1997,maize,summer,sowing,16.285527768709677
Anhui,1997,rice,single,growing,19.603857658039217
Anhui,1997,rice,single,harvesting,11.93003285532258
Anhui,1997,rice,single,sowing,10.213678918633333
Anhui,1997,soybean,single,growing,21.95664220728261
Anhui,1997,soybean,single,harvesting,13.841947480245901
Anhui,1997,soybean,single,sowing,16.285527768709677
Anhui,1998,maize,spring,growing,20.097868021847827
Anhui,1998,maize,spring,harvesting,23.399143767741936
Anhui,1998,maize,spring,sowing,8.73520036447541
Anhui,1998,maize,summer,growing,22.69472960271739
Anhui,1998,maize,summer,harvesting,15.716871584934427
Anhui,1998,maize,summer,sowing,15.692328753548388
Anhui,1998,rice,single,growing,20.42589566705882
Anhui,1998,rice,single,harvesting,13.159498207451614
Anhui,1998,rice,single,sowing,12.962037037366667
Anhui,1998,soybean,single,growing,22.69472960271739
Anhui,1998,soybean,single,harvesting,15.716871584934427
Anhui,1998,soybean,single,sowing,15.692328753548388
Anhui,1998,wheat,winter,growing,5.633884375773586
Anhui,1998,wheat,winter,harvesting,19.859259259
Anhui,1998,wheat,winter,sowing,13.841947480245901
Anhui,1999,maize,spring,growing,19.348807366847826
Anhui,1999,maize,spring,harvesting,21.664177618709676
Anhui,1999,maize,spring,sowing,7.431858429672131
Anhui,1999,maize,summer,growing,21.35227120228261
Anhui,1999,maize,summer,harvesting,16.01641621137705
Anhui,1999,maize,summer,sowing,15.718413978064516
Anhui,1999,rice,single,growing,19.884363148431373
Anhui,1999,rice,single,harvesting,12.46366487464516
Anhui,1999,rice,single,sowing,10.784259259599999
Anhui,1999,soybean,single,growing,21.35227120228261
Anhui,1999,soybean,single,harvesting,16.01641621137705
Anhui,1999,soybean,single,sowing,15.718413978064516
Anhui,1999,wheat,winter,growing,5.692626441320754
Anhui,1999,wheat,winter,harvesting,20.010879628666665
Anhui,1999,wheat,winter,sowing,15.716871584934427
