i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,0.8341074071604752
Anhui,1997,maize,spring,harvesting,0.6567107675317736
Anhui,1997,maize,spring,sowing,0.39089816222576496
Anhui,1997,maize,summer,growing,0.7523081878188499
Anhui,1997,maize,summer,harvesting,0.7048134434896298
Anhui,1997,maize,summer,sowing,0.899469741061758
Anhui,1997,rice,single,growing,0.7673716117958181
Anhui,1997,rice,single,harvesting,0.7316670548501915
Anhui,1997,rice,single,sowing,0.49691704382317764
Anhui,1997,soybean,single,growing,0.7523081878188499
Anhui,1997,soybean,single,harvesting,0.7048134434896298
Anhui,1997,soybean,single,sowing,0.899469741061758
Anhui,1998,maize,spring,growing,0.6281583101545912
Anhui,1998,maize,spring,harvesting,0.6494514142362079
Anhui,1998,maize,spring,sowing,0.3718763600840008
Anhui,1998,maize,summer,growing,0.6748804367294244
Anhui,1998,maize,summer,harvesting,0.7398351980189939
Anhui,1998,maize,summer,sowing,0.5107921998850901
Anhui,1998,rice,single,growing,0.6689264497441355
Anhui,1998,rice,single,harvesting,0.6679922143177653
Anhui,1998,rice,single,sowing,0.4982658570586873
Anhui,1998,soybean,single,growing,0.6748804367294244
Anhui,1998,soybean,single,harvesting,0.7398351980189939
Anhui,1998,soybean,single,sowing,0.5107921998850901
Anhui,1998,wheat,winter,growing,118.43974599545864
Anhui,1998,wheat,winter,harvesting,0.6617274686753156
Anhui,1998,wheat,winter,sowing,0.7048134434896298
Anhui,1999,maize,spring,growing,0.6398139196871173
Anhui,1999,maize,spring,harvesting,0.5649134580615048
Anhui,1999,maize,spring,sowing,0.3406864384585608
Anhui,1999,maize,summer,growing,0.6021124536606883
Anhui,1999,maize,summer,harvesting,0.5154208839486027
Anhui,1999,maize,summer,sowing,0.6768016798173585
Anhui,1999,rice,single,growing,0.6306668877347505
Anhui,1999,rice,single,harvesting,0.3652850938248186
Anhui,1999,rice,single,sowing,0.4638846048154002
Anhui,1999,soybean,single,growing,0.6021124536606883
Anhui,1999,soybean,single,harvesting,0.5154208839486027
Anhui,1999,soybean,single,sowing,0.6768016798173585
Anhui,1999,wheat,winter,growing,0.4065919988286006
Anhui,1999,wheat,winter,harvesting,0.6156454654637451
Anhui,1999,wheat,winter,sowing,0.7398351980189939
Anhui,2000,maize,spring,growing,0.8658246678761969
Anhui,2000,maize,spring,harvesting,0.6282073799217042
Anhui,2000,maize,spring,sowing,0.6125383969208263
Anhui,2000,maize,summer,growing,0.7377575102192305
Anhui,2000,maize,summer,harvesting,0.4580390759184202
Anhui,2000,maize,summer,sowing,1.008277654258508
Anhui,2000,rice,single,growing,0.7724116846646356
Anhui,2000,rice,single,harvesting,0.286828841919914
Anhui,2000,rice,single,sowing,0.7308189835913226
Anhui,2000,soybean,single,growing,0.7377575102192305
Anhui,2000,soybean,single,harvesting,0.4580390759184202
Anhui,2000,soybean,single,sowing,1.008277654258508
Anhui,2000,wheat,winter,growing,0.47032940580087546
Anhui,2000,wheat,winter,harvesting,0.6989843730732327
Anhui,2000,wheat,winter,sowing,0.5154208839486027
Anhui,2001,maize,spring,growing,0.8606818553229677
Anhui,2001,maize,spring,harvesting,0.5767167701091614
Anhui,2001,maize,spring,sowing,0.501133436817221
Anhui,2001,maize,summer,growing,0.7404475150285978
Anhui,2001,maize,summer,harvesting,0.7009826249463758
Anhui,2001,maize,summer,sowing,0.9335412638860009
Anhui,2001,rice,single,growing,0.7954577766592816
Anhui,2001,rice,single,harvesting,0.5843822856759961
Anhui,2001,rice,single,sowing,0.516302804383291
Anhui,2001,soybean,single,growing,0.7404475150285978
Anhui,2001,soybean,single,harvesting,0.7009826249463758
Anhui,2001,soybean,single,sowing,0.9335412638860009
Anhui,2001,wheat,winter,growing,0.3858667362369555
Anhui,2001,wheat,winter,harvesting,0.6666912463045592
Anhui,2001,wheat,winter,sowing,0.4580390759184202
Anhui,2002,maize,spring,growing,0.6610331375243609
Anhui,2002,maize,spring,harvesting,0.5868003238538264
Anhui,2002,maize,spring,sowing,0.36041251445261396
Anhui,2002,maize,summer,growing,0.7270681220109921
Anhui,2002,maize,summer,harvesting,0.65900665383969
Anhui,2002,maize,summer,sowing,0.39082553118382407
Anhui,2002,rice,single,growing,0.6441983098431607
Anhui,2002,rice,single,harvesting,0.6659007474170103
Anhui,2002,rice,single,sowing,0.38575253702006357
Anhui,2002,soybean,single,growing,0.7270681220109921
Anhui,2002,soybean,single,harvesting,0.65900665383969
Anhui,2002,soybean,single,sowing,0.39082553118382407
Anhui,2002,wheat,winter,growing,0.3262393399118974
Anhui,2002,wheat,winter,harvesting,0.8672782580267347
Anhui,2002,wheat,winter,sowing,0.7009826249463758
Anhui,2003,maize,spring,growing,0.6855909450373028
Anhui,2003,maize,spring,harvesting,0.5440151237573483
Anhui,2003,maize,spring,sowing,0.3437933568085871
Anhui,2003,maize,summer,growing,0.6845845945159583
Anhui,2003,maize,summer,harvesting,0.5213949666383317
Anhui,2003,maize,summer,sowing,0.5470017124013383
Anhui,2003,rice,single,growing,0.6323075207357269
Anhui,2003,rice,single,harvesting,0.483899292654247
Anhui,2003,rice,single,sowing,0.3611271961940495
Anhui,2003,soybean,single,growing,0.6845845945159583
Anhui,2003,soybean,single,harvesting,0.5213949666383317
Anhui,2003,soybean,single,sowing,0.5470017124013383
Anhui,2003,wheat,winter,growing,0.31029382405738193
Anhui,2003,wheat,winter,harvesting,0.858894727252525
Anhui,2003,wheat,winter,sowing,0.65900665383969
Anhui,2004,maize,spring,growing,0.7855458678029198
Anhui,2004,maize,spring,harvesting,0.609090623634001
Anhui,2004,maize,spring,sowing,0.5506505593383002
Anhui,2004,maize,summer,growing,0.7629620522366143
Anhui,2004,maize,summer,harvesting,0.6520549216597459
Anhui,2004,maize,summer,sowing,0.6761135601533599
Anhui,2004,rice,single,growing,0.7163582350496014
Anhui,2004,rice,single,harvesting,0.6878893364251016
Anhui,2004,rice,single,sowing,0.6750072261668261
Anhui,2004,soybean,single,growing,0.7629620522366143
Anhui,2004,soybean,single,harvesting,0.6520549216597459
Anhui,2004,soybean,single,sowing,0.6761135601533599
Anhui,2004,wheat,winter,growing,0.4284647783691556
Anhui,2004,wheat,winter,harvesting,0.7604071632308628
Anhui,2004,wheat,winter,sowing,0.5213949666383317
Anhui,2005,maize,spring,growing,0.8746472611777164
Anhui,2005,maize,spring,harvesting,0.5558923481193289
Anhui,2005,maize,spring,sowing,0.5976522370079177
Anhui,2005,maize,summer,growing,0.8209107396465164
Anhui,2005,maize,summer,harvesting,0.5353511336874572
Anhui,2005,maize,summer,sowing,0.7153684765345028
Anhui,2005,rice,single,growing,0.7424182630942487
Anhui,2005,rice,single,harvesting,0.5408592168246432
Anhui,2005,rice,single,sowing,0.7617326153235274
Anhui,2005,soybean,single,growing,0.8209107396465164
Anhui,2005,soybean,single,harvesting,0.5353511336874572
Anhui,2005,soybean,single,sowing,0.7153684765345028
Anhui,2005,wheat,winter,growing,0.43209596927035093
Anhui,2005,wheat,winter,harvesting,1.2072340720319374
Anhui,2005,wheat,winter,sowing,0.6520549216597459
Anhui,2006,maize,spring,growing,0.8228764188692793
Anhui,2006,maize,spring,harvesting,0.8548887449968177
Anhui,2006,maize,spring,sowing,0.5629977330258434
Anhui,2006,maize,summer,growing,0.8418342964895646
Anhui,2006,maize,summer,harvesting,0.6212171437334415
Anhui,2006,maize,summer,sowing,0.7986266565753254
