i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,0.5965865687662907
Anhui,1997,maize,spring,harvesting,-0.20122749181038407
Anhui,1997,maize,spring,sowing,-0.9751879873304861
Anhui,1997,maize,summer,growing,0.03480965305115578
Anhui,1997,maize,summer,harvesting,1.0848789073509517
Anhui,1997,maize,summer,sowing,0.8211411309248003
Anhui,1997,rice,single,growing,0.40905537595179636
Anhui,1997,rice,single,harvesting,1.2600523259065401
Anhui,1997,rice,single,sowing,-0.5943320976091435
Anhui,1997,soybean,single,growing,0.03480965305115578
Anhui,1997,soybean,single,harvesting,1.0848789073509517
Anhui,1997,soybean,single,sowing,0.8211411309248003
Anhui,1998,maize,spring,growing,-1.2941602795633684
Anhui,1998,maize,spring,harvesting,-0.2386386796133251
Anhui,1998,maize,spring,sowing,-1.1608605718125997
Anhui,1998,maize,summer,growing,-0.5942509043731603
Anhui,1998,maize,summer,harvesting,1.4362806060672386
Anhui,1998,maize,summer,sowing,-1.4409415705216544
Anhui,1998,rice,single,growing,-0.6337943799155038
Anhui,1998,rice,single,harvesting,0.8041273185307724
Anhui,1998,rice,single,sowing,-0.5847322310996502
Anhui,1998,soybean,single,growing,-0.5942509043731603
Anhui,1998,soybean,single,harvesting,1.4362806060672386
Anhui,1998,soybean,single,sowing,-1.4409415705216544
Anhui,1998,wheat,winter,growing,1.5872227164910326
Anhui,1998,wheat,winter,harvesting,-0.7625897090909896
Anhui,1998,wheat,winter,sowing,1.2437879709077961
Anhui,1999,maize,spring,growing,-1.1871541925769553
Anhui,1999,maize,spring,harvesting,-0.674306324672079
Anhui,1999,maize,spring,sowing,-1.4653066655544273
Anhui,1999,maize,summer,growing,-1.185453249111209
Anhui,1999,maize,summer,harvesting,-0.8154504177015962
Anhui,1999,maize,summer,sowing,-0.4747751908176721
Anhui,1999,rice,single,growing,-1.039085752996188
Anhui,1999,rice,single,harvesting,-1.363318174688207
Anhui,1999,rice,single,sowing,-0.8294328488542316
Anhui,1999,soybean,single,growing,-1.185453249111209
Anhui,1999,soybean,single,harvesting,-0.8154504177015962
Anhui,1999,soybean,single,sowing,-0.4747751908176721
Anhui,1999,wheat,winter,growing,-0.26300359017266484
Anhui,1999,wheat,winter,harvesting,-1.037409007310928
Anhui,1999,wheat,winter,sowing,1.6194836121209777
Anhui,2000,maize,spring,growing,0.8877716800765275
Anhui,2000,maize,spring,harvesting,-0.34812013410011744
Anhui,2000,maize,spring,sowing,1.1882513594967063
Anhui,2000,maize,summer,growing,-0.08340710041164959
Anhui,2000,maize,summer,harvesting,-1.3912086881877714
Anhui,2000,maize,summer,sowing,1.454397422188049
Anhui,2000,rice,single,growing,0.4624458996835805
Anhui,2000,rice,single,harvesting,-1.9250811399241066
Anhui,2000,rice,single,sowing,1.0704109068122634
Anhui,2000,soybean,single,growing,-0.08340710041164959
Anhui,2000,soybean,single,harvesting,-1.3912086881877714
Anhui,2000,soybean,single,sowing,1.454397422188049
Anhui,2000,wheat,winter,growing,-0.2620044757450185
Anhui,2000,wheat,winter,harvesting,-0.5404006633267622
Anhui,2000,wheat,winter,sowing,-0.7879194650549746
Anhui,2001,maize,spring,growing,0.8405573112449392
Anhui,2001,maize,spring,harvesting,-0.6134777762142805
