i,t,c,sys,stage,value
Anhui,1997,maize,spring,growing,2.744869565217391
Anhui,1997,maize,spring,harvesting,2.8377870967741936
Anhui,1997,maize,spring,sowing,2.930304918032787
Anhui,1997,maize,summer,growing,2.6803880434782608
Anhui,1997,maize,summer,harvesting,2.376580327868852
Anhui,1997,maize,summer,sowing,3.0291516129032257
Anhui,1997,rice,single,growing,2.7195803921568626
Anhui,1997,rice,single,harvesting,2.2379032258064515
Anhui,1997,rice,single,sowing,2.87906
Anhui,1997,soybean,single,growing,2.6803880434782608
Anhui,1997,soybean,single,harvesting,2.376580327868852
Anhui,1997,soybean,single,sowing,3.0291516129032257
Anhui,1998,maize,spring,growing,2.852867391304348
Anhui,1998,maize,spring,harvesting,2.54121935483871
Anhui,1998,maize,spring,sowing,3.071555737704918
Anhui,1998,maize,summer,growing,2.7143326086956523
Anhui,1998,maize,summer,harvesting,2.5747967213114755
Anhui,1998,maize,summer,sowing,2.9523548387096774
Anhui,1998,rice,single,growing,2.7456954248366015
Anhui,1998,rice,single,harvesting,2.5229935483870967
Anhui,1998,rice,single,sowing,2.9877
Anhui,1998,soybean,single,growing,2.7143326086956523
Anhui,1998,soybean,single,harvesting,2.5747967213114755
Anhui,1998,soybean,single,sowing,2.9523548387096774
Anhui,1998,wheat,winter,growing,2.8411509433962263
Anhui,1998,wheat,winter,harvesting,2.7742166666666668
Anhui,1998,wheat,winter,sowing,2.376580327868852
Anhui,1999,maize,spring,growing,2.709073913043478
Anhui,1999,maize,spring,harvesting,2.4528677419354836
Anhui,1999,maize,spring,sowing,3.1883803278688525
Anhui,1999,maize,summer,growing,2.6232271739130435
Anhui,1999,maize,summer,harvesting,2.687345901639344
Anhui,1999,maize,summer,sowing,2.7076387096774197
Anhui,1999,rice,single,growing,2.6976333333333335
Anhui,1999,rice,single,harvesting,2.4665774193548384
Anhui,1999,rice,single,sowing,3.10455
Anhui,1999,soybean,single,growing,2.6232271739130435
Anhui,1999,soybean,single,harvesting,2.687345901639344
Anhui,1999,soybean,single,sowing,2.7076387096774197
Anhui,1999,wheat,winter,growing,2.708715094339623
Anhui,1999,wheat,winter,harvesting,3.0222566666666664
Anhui,1999,wheat,winter,sowing,2.5747967213114755
Anhui,2000,maize,spring,growing,2.877410869565217
Anhui,2000,maize,spring,harvesting,2.637983870967742
Anhui,2000,maize,spring,sowing,3.055339344262295
Anhui,2000,maize,summer,growing,2.8156076086956525
Anhui,2000,maize,summer,harvesting,2.69007868852459
Anhui,2000,maize,summer,sowing,2.8213999999999997
Anhui,2000,rice,single,growing,2.8202006535947715
Anhui,2000,rice,single,harvesting,2.5517225806451616
Anhui,2000,rice,single,sowing,3.1182866666666667
Anhui,2000,soybean,single,growing,2.8156076086956525
Anhui,2000,soybean,single,harvesting,2.69007868852459
Anhui,2000,soybean,single,sowing,2.8213999999999997
Anhui,2000,wheat,winter,growing,2.787263679245283
Anhui,2000,wheat,winter,harvesting,2.827793333333333
Anhui,2000,wheat,winter,sowing,2.687345901639344
